Single-image pleasure ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD per target pleasure for pre-cued one-image trials,,,,,,,,,SD per target pleasure for post-cued one-image trials,,,,,,,,,SD per target pleasure for pre-cued combined pleasure trials,,,,,,,,,SD per target pleasure for post-cued combined pleasure trials,,,,,,,,,Response time,,Average parameter values for LOOCV,,,,,
image 1,image 2,image 3,image 4,image 5,image 6,image 7,image 8,image 9,image 10,image 11,image 12,image 13,image 14,image 15,image 16,image 17,image 18,image 19,image 20,image 21,image 22,image 23,image 24,image 25,image 26,image 27,image 28,image 29,image 30,image 31,image 32,image 33,image 34,image 35,image 36,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,median,SD,Compressive model (a),Compressive model (b),Expansive model (a),Expansive model (b),Partial compulsory averaging (w),High pleasure attenuation (P_beau)
7,6,8,6,3,6,3,1,3,7,7,3,4,4,4,2,7,3,5,1,1,1,9,9,9,8,9,3,5,1,5,5,8,9,2,5,NaN,0.83,0.90,0.49,1.18,1.22,0.66,0.83,0.75,0.31,0.71,1.25,0.49,1.07,1.24,0.81,0.67,0.50,0.00,0.50,0.83,1.85,1.79,1.10,1.04,0.63,0.50,0.00,0.58,1.00,1.18,2.07,1.73,0.69,0.71,0.50,0.50,0.74,0.00,0.98,-1.41,1.23,1.00,8.06
7,8,8,3,8,4,2,1,1,9,9,1,1,2,2,2,7,2,2,1,1,1,9,9,9,9,9,3,2,1,2,2,8,9,1,4,1.02,1.38,1.73,2.12,NaN,NaN,2.47,1.24,1.52,0.61,1.18,0.76,2.20,NaN,NaN,2.13,1.59,1.02,0.00,0.95,1.37,2.08,2.15,1.78,0.50,0.00,0.53,0.50,1.50,1.30,NaN,1.45,1.88,0.58,0.00,NaN,0.47,0.65,0.00,0.94,-0.25,1.00,0.81,5.80
9,8,9,6,8,8,5,1,5,9,9,5,5,5,5,5,7,8,8,1,1,5,9,9,9,9,9,5,5,1,1,7,9,9,3,5,1.20,NaN,3.00,NaN,1.95,1.91,2.14,2.20,1.88,NaN,NaN,0.82,NaN,1.09,2.06,2.76,1.79,1.96,NaN,NaN,1.60,0.71,1.64,1.73,1.27,1.50,0.90,0.00,NaN,0.55,NaN,2.08,1.42,1.60,NaN,0.75,1.82,5.14,0.00,0.90,-2.15,1.22,0.70,4.14
7,8,9,4,5,7,3,1,2,8,6,2,3,8,2,6,5,4,3,1,1,1,9,9,9,8,9,6,4,1,2,9,9,9,2,5,0.89,1.20,1.08,1.22,0.75,0.78,1.73,1.15,1.76,0.57,0.97,0.98,1.15,1.24,1.35,1.75,1.22,1.08,NaN,0.95,1.81,1.65,1.85,0.96,1.57,0.95,0.55,NaN,0.93,1.22,1.27,1.18,0.79,1.49,1.41,1.26,1.36,1.46,0.12,0.84,-0.74,1.00,0.78,5.13
9,8,9,5,8,7,5,1,5,8,8,1,1,5,5,5,5,5,5,1,1,2,9,9,9,9,9,8,5,1,5,5,9,9,1,9,0.99,0.50,NaN,NaN,0.72,NaN,0.50,1.36,1.28,NaN,2.63,NaN,NaN,1.29,NaN,0.82,0.77,0.61,0.00,NaN,1.68,NaN,2.12,2.12,1.54,1.64,0.81,0.00,NaN,1.56,NaN,1.98,1.26,1.28,0.00,1.17,1.04,2.99,0.01,0.95,-0.28,1.00,0.95,8.52
5,3,3,3,6,3,3,2,2,6,6,2,5,6,1,2,1,8,5,2,8,4,5,4,7,6,1,8,6,8,6,3,5,7,5,1,2.44,1.70,2.16,2.76,2.90,2.29,2.60,1.96,NaN,NaN,1.47,1.25,2.39,2.14,1.78,1.13,2.08,NaN,NaN,2.42,1.93,1.62,2.52,2.23,2.52,4.95,NaN,NaN,1.25,1.88,2.35,1.48,1.90,2.14,NaN,NaN,0.73,25.42,4.17,0.00,-0.22,1.00,0.51,2.51
5,3,7,2,7,5,4,1,2,8,7,1,3,2,2,2,3,6,2,1,1,1,8,8,8,7,8,6,3,1,1,3,2,7,1,8,1.39,NaN,1.18,0.50,1.04,1.51,0.67,1.25,NaN,1.20,1.32,1.43,0.96,1.25,1.75,1.05,1.09,NaN,0.98,1.41,1.05,1.85,1.78,0.82,1.90,0.49,NaN,0.50,1.17,1.21,2.55,2.17,1.51,0.84,0.76,NaN,1.05,1.20,0.84,0.97,0.00,1.13,0.85,7.00
9,9,9,7,7,2,7,1,3,9,9,1,1,4,4,7,8,7,9,1,1,1,9,9,9,9,9,7,7,1,2,8,9,9,4,8,0.68,3.89,0.82,1.44,NaN,NaN,1.89,1.83,1.09,0.31,3.89,0.58,1.70,NaN,NaN,0.95,0.79,0.50,NaN,0.58,NaN,2.81,2.39,2.25,2.08,1.01,0.00,NaN,1.34,2.12,1.10,1.24,2.12,1.39,1.26,1.72,0.89,6.96,0.00,0.82,-1.81,1.09,0.99,8.96
5,2,8,1,1,5,1,1,1,7,9,1,1,1,1,1,3,3,4,1,1,1,9,9,9,8,8,1,1,1,1,3,7,8,1,5,0.00,1.83,1.24,1.41,0.97,NaN,0.89,1.03,1.37,0.00,1.83,1.68,1.73,1.37,NaN,1.20,1.17,0.79,0.00,1.57,0.60,2.03,1.31,0.58,NaN,0.00,0.82,0.00,0.67,0.65,1.60,1.06,1.50,NaN,NaN,1.00,0.58,0.66,0.00,0.66,-1.39,1.00,0.96,7.61
9,5,8,4,3,9,2,1,4,9,9,4,3,4,3,7,3,6,2,1,1,2,9,8,8,7,9,9,4,1,3,9,9,9,2,8,1.57,1.22,2.01,1.81,NaN,1.29,1.89,1.86,2.12,0.89,2.10,2.12,2.01,0.96,2.06,2.51,1.36,2.03,NaN,1.33,1.50,1.71,2.34,2.48,1.20,1.00,1.17,NaN,1.36,2.33,0.96,2.43,1.88,1.04,0.52,0.00,0.76,1.46,0.46,1.00,0.00,1.07,0.73,6.23
9,4,9,4,7,5,4,1,2,9,9,2,1,3,2,2,2,5,4,1,1,1,9,9,9,9,9,2,4,1,2,5,9,9,1,6,0.42,1.55,1.41,1.01,1.73,1.15,0.50,NaN,1.66,0.71,1.10,0.50,1.09,1.59,0.96,0.58,NaN,1.98,0.00,0.89,0.93,1.12,1.49,1.40,1.51,2.59,0.33,NaN,0.76,1.54,1.17,1.33,1.16,1.54,1.41,2.00,0.47,0.61,0.44,0.84,-0.31,1.00,0.82,6.93
2,7,9,7,9,7,5,1,5,9,9,2,2,5,4,5,7,5,7,1,1,1,9,9,9,9,9,5,5,1,2,9,9,9,1,5,0.00,0.96,NaN,0.50,1.73,NaN,1.99,NaN,1.64,2.11,0.63,NaN,0.82,1.35,NaN,1.43,NaN,1.29,NaN,0.45,2.18,0.58,2.38,1.91,2.07,1.14,0.50,NaN,0.00,1.89,0.98,1.76,NaN,1.89,0.55,0.41,0.32,0.73,0.00,0.83,-2.76,1.28,0.93,7.44
8,8,7,5,5,4,4,2,3,9,9,3,2,4,4,4,4,6,4,1,1,1,8,9,7,8,7,4,4,1,4,8,7,8,3,5,0.91,1.41,1.44,1.65,2.26,2.58,2.21,1.81,1.53,1.41,0.93,1.31,1.70,2.23,2.38,1.61,2.06,2.15,NaN,0.00,0.98,0.71,1.82,1.89,1.73,0.89,0.00,NaN,NaN,1.04,1.70,2.05,1.69,1.91,0.50,NaN,0.50,1.12,0.23,0.89,-0.35,1.00,0.69,3.50
5,7,9,7,6,9,9,4,4,6,6,3,2,6,6,5,8,8,5,4,6,7,9,9,8,9,9,6,7,6,8,7,9,9,6,6,NaN,0.82,1.73,1.62,1.08,1.27,1.37,1.15,1.40,NaN,1.50,1.50,1.88,1.03,NaN,1.76,1.30,1.13,NaN,NaN,NaN,2.31,0.74,1.66,1.24,1.47,1.72,NaN,NaN,NaN,1.53,1.52,1.75,1.44,0.82,1.51,0.90,1.18,0.00,0.91,-0.64,1.00,0.83,6.87
