Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
6,8,2,5.19285714285714,4.46206896551724,3,2,6,14,4.83333333333333,4.21782178217822,4,2,0.740529,14,7
21,1,2,1.44285714285714,5.17857142857143,0,3,21,5,1.3921568627451,5.45098039215686,9,2,0.6024867,5,9
33,8,3,3.24728260869565,6.49038461538461,1,4,16,33,4.22222222222222,6.12037037037037,5,2,1.699397,16,3
12,2,3,6.56551724137931,1.82068965517241,4,0,27,12,6.11881188118812,2.13725490196078,9,2,0.1461727,27,9
18,9,3,4.45714285714286,5.18620689655172,2,3,19,18,4.66666666666667,5.2037037037037,7,2,1.996859,19,6
11,9,1,3.24728260869565,5.2,1,3,16,11,4.22222222222222,5.94059405940594,3,2,0.9404728,16,3
30,2,1,5.1929347826087,1.82068965517241,3,0,32,30,4.88235294117647,1.67326732673267,7,2,0.551069,32,7
5,9,3,6.62228260869565,5.17857142857143,4,3,25,5,6.24752475247525,5.45098039215686,9,2,0.5114067,25,8
9,2,2,3.25271739130435,1.45714285714286,1,0,9,20,3.54455445544554,1.97058823529412,2,2,0.453764,20,3
28,5,3,6.58967391304348,3.24184782608696,4,1,26,28,6.41176470588235,4.03703703703704,8,2,0.8358719,26,9
10,9,2,5.19565217391304,6.49728260869565,3,4,10,3,5.85294117647059,6.32352941176471,9,2,0.2699192,3,9
36,5,3,4.45,4.44230769230769,2,2,2,36,4.75247524752475,4.89814814814815,4,2,0.7269932,2,5
34,9,2,6.50961538461539,1.82068965517241,4,0,34,30,6.1078431372549,1.67326732673267,1,2,0.2031644,30,2
4,4,1,3.26896551724138,3.25,1,1,15,4,2.88235294117647,3.55882352941176,2,2,1.880662,15,3
24,9,3,3.25,6.82758620689655,1,4,31,24,2.90196078431373,6.31372549019608,4,2,1.029026,31,1
28,5,1,6.56551724137931,3.24184782608696,4,1,27,28,6.11881188118812,4.03703703703704,9,2,0.4696595,27,9
33,8,1,1.58423913043478,6.49038461538461,0,4,13,33,2.00980392156863,6.12037037037037,6,2,1.066449,13,2
3,9,1,3.25271739130435,6.49728260869565,1,4,9,3,3.54455445544554,6.32352941176471,7,2,0.6149164,9,2
22,1,1,5.19310344827586,1,3,0,1,22,5.33333333333333,1.25490196078431,NaN,2,0.06857956,1,9
15,3,2,3.26896551724138,6.49038461538461,1,4,15,33,2.88235294117647,6.12037037037037,9,2,0.635015,33,8
16,3,2,3.24728260869565,3.25,1,1,16,4,4.22222222222222,3.55882352941176,4,2,1.525074,4,4
35,2,2,1.51724137931034,6.64423076923077,0,4,35,23,1.40196078431373,6.37623762376238,9,2,0.3101933,23,8
19,6,2,4.45714285714286,3.26206896551724,2,1,19,7,4.66666666666667,4.05882352941176,5,2,0.8787075,7,4
18,9,1,1.44285714285714,5.18620689655172,0,3,21,18,1.3921568627451,5.2037037037037,NaN,2,0.008879532,21,1
4,4,3,1.58423913043478,3.25,0,1,13,4,2.00980392156863,3.55882352941176,4,2,0.740307,13,2
29,4,3,3.25271739130435,3.23641304347826,1,1,9,29,3.54455445544554,2.23529411764706,8,2,0.4875851,9,2
5,9,1,4.45714285714286,5.17857142857143,2,3,19,5,4.66666666666667,5.45098039215686,4,2,1.040495,19,6
31,1,2,3.25,3.24184782608696,1,1,31,28,2.90196078431373,4.03703703703704,8,2,0.3678605,28,5
17,6,1,1.51724137931034,5.17857142857143,0,3,35,17,1.40196078431373,4.98039215686275,2,2,0.686361,35,2
27,9,2,6.56551724137931,6.82758620689655,4,4,27,24,6.11881188118812,6.31372549019608,NaN,2,2.564057,24,9
20,3,1,1.73097826086957,1.45714285714286,0,0,8,20,1.1980198019802,1.97058823529412,3,2,1.630988,8,1
29,4,1,5.19565217391304,3.23641304347826,3,1,10,29,5.85294117647059,2.23529411764706,9,2,1.207835,10,9
14,7,1,4.45,4.46206896551724,2,2,2,14,4.75247524752475,4.21782178217822,4,2,1.468896,2,5
7,4,3,1.44285714285714,3.26206896551724,0,1,21,7,1.3921568627451,4.05882352941176,4,2,1.072405,21,1
12,2,1,3.25,1.82068965517241,1,0,31,12,2.90196078431373,2.13725490196078,1,2,0.1538318,31,1
23,8,1,6.50961538461539,6.64423076923077,4,4,34,23,6.1078431372549,6.37623762376238,9,2,0.2371752,34,9
22,1,3,5.19285714285714,1,3,0,6,22,4.83333333333333,1.25490196078431,6,2,0.9222394,6,8
13,2,2,1.58423913043478,5.2,0,3,13,11,2.00980392156863,5.94059405940594,NaN,2,0.02146813,11,9
25,8,2,6.62228260869565,5.18620689655172,4,3,25,18,6.24752475247525,5.2037037037037,8,2,1.291775,18,9
8,1,2,1.73097826086957,3.23641304347826,0,1,8,29,1.1980198019802,2.23529411764706,6,2,1.022265,29,4
14,7,3,5.19310344827586,4.46206896551724,3,2,1,14,5.33333333333333,4.21782178217822,9,2,0.2963944,1,9
36,5,1,5.19285714285714,4.44230769230769,3,2,6,36,4.83333333333333,4.89814814814815,8,2,0.5515419,6,8
30,2,3,1.51724137931034,1.82068965517241,0,0,35,30,1.40196078431373,1.67326732673267,3,2,0.7747923,35,2
7,4,1,6.62228260869565,3.26206896551724,4,1,25,7,6.24752475247525,4.05882352941176,9,2,0.2926263,25,8
24,9,1,6.58967391304348,6.82758620689655,4,4,26,24,6.41176470588235,6.31372549019608,9,2,1.488634,26,9
32,7,2,5.1929347826087,5.17857142857143,3,3,32,17,4.88235294117647,4.98039215686275,4,2,1.098129,17,6
26,9,2,6.58967391304348,1.82068965517241,4,0,26,12,6.41176470588235,2.13725490196078,4,2,0.766097,12,2
17,6,3,6.50961538461539,5.17857142857143,4,3,34,17,6.1078431372549,4.98039215686275,6,2,0.6949286,34,9
11,9,3,3.26896551724138,5.2,1,3,15,11,2.88235294117647,5.94059405940594,5,2,0.740263,15,3
3,9,3,1.73097826086957,6.49728260869565,0,4,8,3,1.1980198019802,6.32352941176471,5,2,1.218704,8,1
23,8,3,5.1929347826087,6.64423076923077,3,4,32,23,4.88235294117647,6.37623762376238,9,2,0.2448631,32,7
1,9,2,5.19310344827586,4.44230769230769,3,2,1,36,5.33333333333333,4.89814814814815,4,2,1.486572,36,5
2,5,2,4.45,1,2,0,2,22,4.75247524752475,1.25490196078431,1,2,0.3961825,22,1
20,3,3,5.19565217391304,1.45714285714286,3,0,10,20,5.85294117647059,1.97058823529412,5,2,1.213734,10,9
23,8,1,6.56551724137931,6.64423076923077,4,4,27,23,6.11881188118812,6.37623762376238,9,1,1.627987,27,9
19,6,2,4.45714285714286,3.26206896551724,2,1,19,7,4.66666666666667,4.05882352941176,3,1,1.93929,7,4
3,9,3,1.73097826086957,6.49728260869565,0,4,8,3,1.1980198019802,6.32352941176471,5,1,0.1325938,8,1
18,9,3,4.45714285714286,5.18620689655172,2,3,19,18,4.66666666666667,5.2037037037037,5,1,0.7117857,19,6
3,9,1,3.25271739130435,6.49728260869565,1,4,9,3,3.54455445544554,6.32352941176471,2,1,0.8694164,9,2
15,3,2,3.26896551724138,1,1,0,15,22,2.88235294117647,1.25490196078431,NaN,1,2.200352,22,1
4,4,1,6.50961538461539,3.25,4,1,34,4,6.1078431372549,3.55882352941176,9,1,0.225166,34,9
7,4,3,1.44285714285714,3.26206896551724,0,1,21,7,1.3921568627451,4.05882352941176,2,1,0.3809269,21,1
11,9,3,6.50961538461539,5.2,4,3,34,11,6.1078431372549,5.94059405940594,9,1,0.9907003,34,9
1,9,2,5.19310344827586,1.82068965517241,3,0,1,12,5.33333333333333,2.13725490196078,2,1,1.099818,12,2
35,2,2,1.51724137931034,3.25,0,1,35,4,1.40196078431373,3.55882352941176,3,1,1.214259,4,4
20,3,3,5.19565217391304,1.45714285714286,3,0,10,20,5.85294117647059,1.97058823529412,5,1,1.41908,10,9
33,8,3,1.51724137931034,6.49038461538461,0,4,35,33,1.40196078431373,6.12037037037037,5,1,0.3182947,35,2
32,7,2,5.1929347826087,5.2,3,3,32,11,4.88235294117647,5.94059405940594,9,1,1.319829,11,9
8,1,2,1.73097826086957,3.23641304347826,0,1,8,29,1.1980198019802,2.23529411764706,NaN,1,3.18468,29,4
25,8,2,6.62228260869565,5.18620689655172,4,3,25,18,6.24752475247525,5.2037037037037,9,1,0.1264498,18,9
14,7,1,3.26896551724138,4.46206896551724,1,2,15,14,2.88235294117647,4.21782178217822,NaN,1,0.0413825,15,3
24,9,1,5.19310344827586,6.82758620689655,3,4,1,24,5.33333333333333,6.31372549019608,9,1,0.92831,1,9
34,9,2,6.50961538461539,6.49038461538461,4,4,34,33,6.1078431372549,6.12037037037037,9,1,0.5772414,33,8
28,5,1,4.45,3.24184782608696,2,1,2,28,4.75247524752475,4.03703703703704,8,1,0.4606843,2,5
22,1,1,1.58423913043478,1,0,0,13,22,2.00980392156863,1.25490196078431,1,1,0.2101675,13,2
27,9,2,6.56551724137931,1.82068965517241,4,0,27,30,6.11881188118812,1.67326732673267,2,1,0.2471174,30,2
5,9,1,4.45714285714286,5.17857142857143,2,3,19,5,4.66666666666667,5.45098039215686,6,1,1.035671,19,6
17,6,3,6.56551724137931,5.17857142857143,4,3,27,17,6.11881188118812,4.98039215686275,7,1,0.7171009,27,9
24,9,3,5.19285714285714,6.82758620689655,3,4,6,24,4.83333333333333,6.31372549019608,8,1,0.1265062,6,8
21,1,2,1.44285714285714,5.17857142857143,0,3,21,5,1.3921568627451,5.45098039215686,9,1,1.338099,5,9
33,8,1,5.1929347826087,6.49038461538461,3,4,32,33,4.88235294117647,6.12037037037037,9,1,0.3217525,32,7
36,5,1,3.24728260869565,4.44230769230769,1,2,16,36,4.22222222222222,4.89814814814815,3,1,1.036656,16,3
11,9,1,1.51724137931034,5.2,0,3,35,11,1.40196078431373,5.94059405940594,2,1,0.1980259,35,2
36,5,3,3.26896551724138,4.44230769230769,1,2,15,36,2.88235294117647,4.89814814814815,4,1,0.9097492,15,3
7,4,1,6.62228260869565,3.26206896551724,4,1,25,7,6.24752475247525,4.05882352941176,9,1,0.1588407,25,8
12,2,1,5.19285714285714,1.82068965517241,3,0,6,12,4.83333333333333,2.13725490196078,9,1,0.1796734,6,8
31,1,2,3.25,6.64423076923077,1,4,31,23,2.90196078431373,6.37623762376238,9,1,0.9090754,23,8
13,2,2,1.58423913043478,4.44230769230769,0,2,13,36,2.00980392156863,4.89814814814815,5,1,1.454137,36,5
28,5,3,5.19310344827586,3.24184782608696,3,1,1,28,5.33333333333333,4.03703703703704,8,1,0.24434,1,9
5,9,3,6.62228260869565,5.17857142857143,4,3,25,5,6.24752475247525,5.45098039215686,9,1,0.3887619,25,8
2,5,2,4.45,6.82758620689655,2,4,2,24,4.75247524752475,6.31372549019608,8,1,0.2116856,24,9
29,4,1,5.19565217391304,3.23641304347826,3,1,10,29,5.85294117647059,2.23529411764706,9,1,0.2906712,10,9
17,6,1,3.25,5.17857142857143,1,3,31,17,2.90196078431373,4.98039215686275,1,1,0.323697,31,1
10,9,2,5.19565217391304,6.49728260869565,3,4,10,3,5.85294117647059,6.32352941176471,9,1,0.2772231,3,9
20,3,1,1.73097826086957,1.45714285714286,0,0,8,20,1.1980198019802,1.97058823529412,1,1,0.7972256,8,1
30,2,1,6.58967391304348,1.82068965517241,4,0,26,30,6.41176470588235,1.67326732673267,9,1,0.2180375,26,9
6,8,2,5.19285714285714,3.24184782608696,3,1,6,28,4.83333333333333,4.03703703703704,NaN,1,0.02155695,28,5
14,7,3,1.58423913043478,4.46206896551724,0,2,13,14,2.00980392156863,4.21782178217822,3,1,1.322285,13,2
12,2,3,4.45,1.82068965517241,2,0,2,12,4.75247524752475,2.13725490196078,4,1,1.164802,2,5
18,9,1,1.44285714285714,5.18620689655172,0,3,21,18,1.3921568627451,5.2037037037037,1,1,0.4271906,21,1
4,4,3,5.1929347826087,3.25,3,1,32,4,4.88235294117647,3.55882352941176,7,1,0.2490225,32,7
30,2,3,3.25,1.82068965517241,1,0,31,30,2.90196078431373,1.67326732673267,2,1,0.4446424,31,1
9,2,2,3.25271739130435,1.45714285714286,1,0,9,20,3.54455445544554,1.97058823529412,3,1,1.816914,20,3
22,1,3,3.24728260869565,1,1,0,16,22,4.22222222222222,1.25490196078431,2,1,1.607076,16,3
23,8,3,6.58967391304348,6.64423076923077,4,4,26,23,6.41176470588235,6.37623762376238,9,1,1.62971,26,9
16,3,2,3.24728260869565,4.46206896551724,1,2,16,14,4.22222222222222,4.21782178217822,7,1,1.256749,14,7
29,4,3,3.25271739130435,3.23641304347826,1,1,9,29,3.54455445544554,2.23529411764706,4,1,1.257616,9,2
26,9,2,6.58967391304348,5.17857142857143,4,3,26,17,6.41176470588235,4.98039215686275,8,1,0.385849,17,6
28,5,1,1.51724137931034,3.24184782608696,0,1,35,28,1.40196078431373,4.03703703703704,1,2,0.2847322,35,2
18,9,1,5.19285714285714,5.18620689655172,3,3,6,18,4.83333333333333,5.2037037037037,8,2,0.4469852,6,8
15,3,2,3.26896551724138,6.82758620689655,1,4,15,24,2.88235294117647,6.31372549019608,9,2,0.3034534,24,9
7,4,1,4.45714285714286,3.26206896551724,2,1,19,7,4.66666666666667,4.05882352941176,6,2,0.6491041,19,6
23,8,1,6.50961538461539,6.64423076923077,4,4,34,23,6.1078431372549,6.37623762376238,9,2,0.533869,34,9
19,6,2,4.45714285714286,4.44230769230769,2,2,19,36,4.66666666666667,4.89814814814815,5,2,0.6212591,36,5
22,1,3,1.58423913043478,1,0,0,13,22,2.00980392156863,1.25490196078431,2,2,0.9763339,13,2
12,2,3,3.25271739130435,1.82068965517241,1,0,9,12,3.54455445544554,2.13725490196078,3,2,0.7090252,9,2
36,5,3,1.44285714285714,4.44230769230769,0,2,21,36,1.3921568627451,4.89814814814815,2,2,0.6638289,21,1
17,6,3,4.45714285714286,5.17857142857143,2,3,19,17,4.66666666666667,4.98039215686275,8,2,0.6129086,19,6
5,9,1,4.45,5.17857142857143,2,3,2,5,4.75247524752475,5.45098039215686,7,2,0.9698392,2,5
30,2,1,3.25271739130435,1.82068965517241,1,0,9,30,3.54455445544554,1.67326732673267,2,2,0.3557206,9,2
17,6,1,1.44285714285714,5.17857142857143,0,3,21,17,1.3921568627451,4.98039215686275,1,2,0.8543775,21,1
34,9,2,6.50961538461539,3.25,4,1,34,4,6.1078431372549,3.55882352941176,7,2,0.2376597,4,4
35,2,2,1.51724137931034,6.64423076923077,0,4,35,23,1.40196078431373,6.37623762376238,9,2,0.1860975,23,8
25,8,2,6.62228260869565,5.17857142857143,4,3,25,17,6.24752475247525,4.98039215686275,8,2,0.1396395,17,6
26,9,2,6.58967391304348,3.23641304347826,4,1,26,29,6.41176470588235,2.23529411764706,7,2,0.2456182,29,4
36,5,1,6.62228260869565,4.44230769230769,4,2,25,36,6.24752475247525,4.89814814814815,9,2,0.5315288,25,8
2,5,2,4.45,1.45714285714286,2,0,2,20,4.75247524752475,1.97058823529412,3,2,1.897868,20,3
29,4,1,3.25,3.23641304347826,1,1,31,29,2.90196078431373,2.23529411764706,1,2,1.627587,31,1
24,9,3,3.24728260869565,6.82758620689655,1,4,16,24,4.22222222222222,6.31372549019608,5,2,1.723757,16,3
20,3,1,5.19310344827586,1.45714285714286,3,0,1,20,5.33333333333333,1.97058823529412,9,2,0.4982886,1,9
21,1,2,1.44285714285714,3.26206896551724,0,1,21,7,1.3921568627451,4.05882352941176,3,2,0.5839378,7,4
4,4,3,1.51724137931034,3.25,0,1,35,4,1.40196078431373,3.55882352941176,4,2,0.5622185,35,2
29,4,3,6.56551724137931,3.23641304347826,4,1,27,29,6.11881188118812,2.23529411764706,8,2,0.3926344,27,9
3,9,3,5.19565217391304,6.49728260869565,3,4,10,3,5.85294117647059,6.32352941176471,NaN,2,2.337368,10,9
4,4,1,5.1929347826087,3.25,3,1,32,4,4.88235294117647,3.55882352941176,7,2,1.44021,32,7
9,2,2,3.25271739130435,6.49728260869565,1,4,9,3,3.54455445544554,6.32352941176471,9,2,0.4508937,3,9
18,9,3,4.45,5.18620689655172,2,3,2,18,4.75247524752475,5.2037037037037,7,2,0.3274769,2,5
8,1,2,1.73097826086957,1.82068965517241,0,0,8,12,1.1980198019802,2.13725490196078,2,2,0.8487802,12,2
20,3,3,5.19285714285714,1.45714285714286,3,0,6,20,4.83333333333333,1.97058823529412,6,2,0.6652342,6,8
33,8,3,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,NaN,2,3.783032,31,1
22,1,1,3.26896551724138,1,1,0,15,22,2.88235294117647,1.25490196078431,4,2,0.4734214,15,3
31,1,2,3.25,5.2,1,3,31,11,2.90196078431373,5.94059405940594,9,2,0.2566964,11,9
28,5,3,6.50961538461539,3.24184782608696,4,1,34,28,6.1078431372549,4.03703703703704,7,2,0.4990297,34,9
11,9,3,6.58967391304348,5.2,4,3,26,11,6.41176470588235,5.94059405940594,9,2,0.6479165,26,9
13,2,2,1.58423913043478,4.46206896551724,0,2,13,14,2.00980392156863,4.21782178217822,6,2,0.4800737,14,7
16,3,2,3.24728260869565,1,1,0,16,22,4.22222222222222,1.25490196078431,1,2,0.3540869,22,1
32,7,2,5.1929347826087,3.24184782608696,3,1,32,28,4.88235294117647,4.03703703703704,6,2,0.433156,28,5
27,9,2,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,NaN,2,0.03384684,33,8
30,2,3,1.73097826086957,1.82068965517241,0,0,8,30,1.1980198019802,1.67326732673267,1,2,0.2003019,8,1
1,9,2,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,8,2,0.6628292,18,9
6,8,2,5.19285714285714,5.17857142857143,3,3,6,5,4.83333333333333,5.45098039215686,9,2,0.460643,5,9
33,8,1,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,9,2,0.3938663,26,9
24,9,1,1.58423913043478,6.82758620689655,0,4,13,24,2.00980392156863,6.31372549019608,3,2,0.361105,13,2
14,7,1,3.24728260869565,4.46206896551724,1,2,16,14,4.22222222222222,4.21782178217822,NaN,2,3.066459,16,3
23,8,3,5.1929347826087,6.64423076923077,3,4,32,23,4.88235294117647,6.37623762376238,8,2,0.4388012,32,7
12,2,1,5.19565217391304,1.82068965517241,3,0,10,12,5.85294117647059,2.13725490196078,6,2,1.110902,10,9
11,9,1,6.56551724137931,5.2,4,3,27,11,6.11881188118812,5.94059405940594,9,2,0.3464177,27,9
10,9,2,5.19565217391304,1.82068965517241,3,0,10,30,5.85294117647059,1.67326732673267,2,2,1.17336,30,2
7,4,3,6.62228260869565,3.26206896551724,4,1,25,7,6.24752475247525,4.05882352941176,5,2,0.5252434,25,8
14,7,3,3.26896551724138,4.46206896551724,1,2,15,14,2.88235294117647,4.21782178217822,4,2,0.5384254,15,3
3,9,1,1.73097826086957,6.49728260869565,0,4,8,3,1.1980198019802,6.32352941176471,1,2,0.4593073,8,1
5,9,3,5.19310344827586,5.17857142857143,3,3,1,5,5.33333333333333,5.45098039215686,9,2,0.4970315,1,9
