Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
22,1,3,5.19285714285714,1,3,0,6,22,4.83333333333333,1.25490196078431,1,1,1.095182,6,8
31,2,2,3.25,3.24184782608696,1,1,31,28,2.90196078431373,4.03703703703704,2,1,0.4286692,28,1
26,8,2,6.58967391304348,5.17857142857143,4,3,26,17,6.41176470588235,4.98039215686275,6,1,1.291102,17,3
25,9,2,6.62228260869565,6.64423076923077,4,4,25,23,6.24752475247525,6.37623762376238,9,1,0.3368213,23,9
7,1,1,3.25271739130435,3.26206896551724,1,1,9,7,3.54455445544554,4.05882352941176,2,1,1.642589,9,2
15,2,2,3.26896551724138,6.49728260869565,1,4,15,3,2.88235294117647,6.32352941176471,9,1,0.8488232,3,8
29,3,3,5.19565217391304,3.23641304347826,3,1,10,29,5.85294117647059,2.23529411764706,3,1,1.400497,10,7
19,3,2,4.45714285714286,1.45714285714286,2,0,19,20,4.66666666666667,1.97058823529412,3,1,1.952692,20,3
5,5,1,3.26896551724138,5.17857142857143,1,3,15,5,2.88235294117647,5.45098039215686,1,1,1.664396,15,2
12,1,1,5.19285714285714,1.82068965517241,3,0,6,12,4.83333333333333,2.13725490196078,7,1,0.4230157,6,8
24,9,1,6.50961538461539,6.82758620689655,4,4,34,24,6.1078431372549,6.31372549019608,NaN,1,2.360987,34,9
28,1,3,6.58967391304348,3.24184782608696,4,1,26,28,6.41176470588235,4.03703703703704,4,1,1.99984,26,8
7,1,3,1.73097826086957,3.26206896551724,0,1,8,7,1.1980198019802,4.05882352941176,1,1,0.2448004,8,1
3,8,1,1.58423913043478,6.49728260869565,0,4,13,3,2.00980392156863,6.32352941176471,4,1,1.2096,13,1
18,1,1,6.58967391304348,5.18620689655172,4,3,26,18,6.41176470588235,5.2037037037037,8,1,0.8437374,26,8
36,2,3,6.50961538461539,4.44230769230769,4,2,34,36,6.1078431372549,4.89814814814815,3,1,0.1790475,34,9
