Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
29,1,3,5.1929347826087,3.23641304347826,3,1,32,29,4.88235294117647,2.23529411764706,8,2,0.3875155,32,7
9,1,2,3.25271739130435,6.64423076923077,1,4,9,23,3.54455445544554,6.37623762376238,8,2,1.570388,23,9
19,3,2,4.45714285714286,6.82758620689655,2,4,19,24,4.66666666666667,6.31372549019608,8,2,0.2936249,24,9
6,4,2,5.19285714285714,4.46206896551724,3,2,6,14,4.83333333333333,4.21782178217822,6,2,0.5838333,14,5
8,1,2,1.73097826086957,4.44230769230769,0,2,8,36,1.1980198019802,4.89814814814815,4,2,1.547435,36,7
33,9,1,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,NaN,2,2.317633,26,9
30,1,3,6.56551724137931,1.82068965517241,4,0,27,30,6.11881188118812,1.67326732673267,4,2,0.6247683,27,9
3,9,1,3.24728260869565,6.49728260869565,1,4,16,3,4.22222222222222,6.32352941176471,6,2,1.608553,16,3
17,7,3,4.45,5.17857142857143,2,3,2,17,4.75247524752475,4.98039215686275,8,2,0.1593645,2,7
22,3,1,4.45714285714286,1,2,0,19,22,4.66666666666667,1.25490196078431,4,2,1.732414,19,3
36,7,1,5.19565217391304,4.44230769230769,3,2,10,36,5.85294117647059,4.89814814814815,9,2,0.4611437,10,8
20,1,3,6.58967391304348,1.45714285714286,4,0,26,20,6.41176470588235,1.97058823529412,4,2,0.3222183,26,9
11,9,1,5.1929347826087,5.2,3,3,32,11,4.88235294117647,5.94059405940594,5,2,1.592729,32,7
31,3,2,3.25,1.45714285714286,1,0,31,20,2.90196078431373,1.97058823529412,NaN,2,0.02231003,20,1
25,9,2,6.62228260869565,3.26206896551724,4,1,25,7,6.24752475247525,4.05882352941176,3,2,0.511539,7,3
30,1,1,3.25,1.82068965517241,1,0,31,30,2.90196078431373,1.67326732673267,4,2,1.21167,31,3
4,5,3,1.73097826086957,3.25,0,1,8,4,1.1980198019802,3.55882352941176,NaN,2,0.04214623,8,1
11,9,3,1.51724137931034,5.2,0,3,35,11,1.40196078431373,5.94059405940594,4,2,0.8786075,35,1
18,6,1,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,NaN,2,3.553649,1,7
13,1,2,1.58423913043478,6.49728260869565,0,4,13,3,2.00980392156863,6.32352941176471,NaN,2,3.086276,3,9
15,3,2,3.26896551724138,3.24184782608696,1,1,15,28,2.88235294117647,4.03703703703704,6,2,0.3626243,28,3
21,1,2,1.44285714285714,1,0,0,21,22,1.3921568627451,1.25490196078431,6,2,0.6399316,22,3
23,9,3,5.19565217391304,6.64423076923077,3,4,10,23,5.85294117647059,6.37623762376238,8,2,0.1472651,10,8
35,1,2,1.51724137931034,3.23641304347826,0,1,35,29,1.40196078431373,2.23529411764706,4,2,0.6278631,29,1
33,9,3,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,4,2,0.4475463,31,3
24,9,1,6.62228260869565,6.82758620689655,4,4,25,24,6.24752475247525,6.31372549019608,NaN,2,2.717647,25,9
18,6,3,5.19285714285714,5.18620689655172,3,3,6,18,4.83333333333333,5.2037037037037,7,2,0.4674442,6,4
14,5,1,4.45,4.46206896551724,2,2,2,14,4.75247524752475,4.21782178217822,6,2,0.7222004,2,7
23,9,1,1.73097826086957,6.64423076923077,0,4,8,23,1.1980198019802,6.37623762376238,2,2,0.2839241,8,1
16,3,2,3.24728260869565,1.82068965517241,1,0,16,12,4.22222222222222,2.13725490196078,4,2,0.8222376,12,1
32,7,2,5.1929347826087,5.17857142857143,3,3,32,5,4.88235294117647,5.45098039215686,NaN,2,4.107144,5,7
26,9,2,6.58967391304348,1.82068965517241,4,0,26,30,6.41176470588235,1.67326732673267,NaN,2,2.87259,30,1
7,3,3,4.45714285714286,3.26206896551724,2,1,19,7,4.66666666666667,4.05882352941176,3,2,1.080199,19,3
28,3,1,1.58423913043478,3.24184782608696,0,1,13,28,2.00980392156863,4.03703703703704,NaN,2,0.02226795,13,1
27,9,2,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,8,2,0.5646099,33,9
14,5,3,5.19310344827586,4.46206896551724,3,2,1,14,5.33333333333333,4.21782178217822,NaN,2,3.619167,1,7
12,1,1,3.26896551724138,1.82068965517241,1,0,15,12,2.88235294117647,2.13725490196078,NaN,2,0.07459157,15,3
24,9,3,1.44285714285714,6.82758620689655,0,4,21,24,1.3921568627451,6.31372549019608,2,2,0.1982375,21,1
10,8,2,5.19565217391304,3.25,3,1,10,4,5.85294117647059,3.55882352941176,8,2,0.2773207,4,5
20,1,1,6.56551724137931,1.45714285714286,4,0,27,20,6.11881188118812,1.97058823529412,4,2,0.4524862,27,9
28,3,3,3.24728260869565,3.24184782608696,1,1,16,28,4.22222222222222,4.03703703703704,4,2,0.2750091,16,3
7,3,1,1.44285714285714,3.26206896551724,0,1,21,7,1.3921568627451,4.05882352941176,3,2,1.315186,21,1
29,1,1,6.50961538461539,3.23641304347826,4,1,34,29,6.1078431372549,2.23529411764706,NaN,2,2.812168,34,9
1,7,2,5.19310344827586,5.17857142857143,3,3,1,17,5.33333333333333,4.98039215686275,NaN,2,2.141748,17,7
4,5,1,3.25271739130435,3.25,1,1,9,4,3.54455445544554,3.55882352941176,4,2,0.2489881,9,1
3,9,3,3.26896551724138,6.49728260869565,1,4,15,3,2.88235294117647,6.32352941176471,NaN,2,0.04059261,15,3
34,9,2,6.50961538461539,5.2,4,3,34,11,6.1078431372549,5.94059405940594,8,2,0.4799652,11,9
36,7,3,3.25271739130435,4.44230769230769,1,2,9,36,3.54455445544554,4.89814814814815,3,2,0.4694718,9,1
2,7,2,4.45,5.18620689655172,2,3,2,18,4.75247524752475,5.2037037037037,4,2,0.3529748,18,6
17,7,1,5.19285714285714,5.17857142857143,3,3,6,17,4.83333333333333,4.98039215686275,6,2,1.06498,6,4
5,7,3,6.50961538461539,5.17857142857143,4,3,34,5,6.1078431372549,5.45098039215686,8,2,0.3097011,34,9
22,3,3,6.62228260869565,1,4,0,25,22,6.24752475247525,1.25490196078431,4,2,1.446694,25,9
12,1,3,1.58423913043478,1.82068965517241,0,0,13,12,2.00980392156863,2.13725490196078,NaN,2,0.08769453,13,1
5,7,1,1.51724137931034,5.17857142857143,0,3,35,5,1.40196078431373,5.45098039215686,1,2,1.079284,35,1
32,7,2,5.1929347826087,6.49728260869565,3,4,32,3,4.88235294117647,6.32352941176471,9,1,0.2871697,3,9
11,9,3,5.19285714285714,5.2,3,3,6,11,4.83333333333333,5.94059405940594,7,1,0.2448775,6,4
12,1,1,6.50961538461539,1.82068965517241,4,0,34,12,6.1078431372549,2.13725490196078,NaN,1,0.06140501,34,9
17,7,1,6.62228260869565,5.17857142857143,4,3,25,17,6.24752475247525,4.98039215686275,9,1,0.256011,25,9
1,7,2,5.19310344827586,5.17857142857143,3,3,1,5,5.33333333333333,5.45098039215686,7,1,0.6573009,5,7
16,3,2,3.24728260869565,3.25,1,1,16,4,4.22222222222222,3.55882352941176,6,1,0.4996065,4,5
24,9,3,3.25271739130435,6.82758620689655,1,4,9,24,3.54455445544554,6.31372549019608,4,1,0.8629289,9,1
23,9,3,3.24728260869565,6.64423076923077,1,4,16,23,4.22222222222222,6.37623762376238,4,1,0.1664346,16,3
3,9,1,1.51724137931034,6.49728260869565,0,4,35,3,1.40196078431373,6.32352941176471,1,1,0.4335197,35,1
4,5,3,1.58423913043478,3.25,0,1,13,4,2.00980392156863,3.55882352941176,1,1,0.8783219,13,1
33,9,3,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,4,1,0.2240365,31,3
3,9,3,6.50961538461539,6.49728260869565,4,4,34,3,6.1078431372549,6.32352941176471,9,1,0.3028302,34,9
22,3,3,5.19565217391304,1,3,0,10,22,5.85294117647059,1.25490196078431,7,1,0.7058101,10,8
19,3,2,4.45714285714286,5.17857142857143,2,3,19,17,4.66666666666667,4.98039215686275,NaN,1,0.04151002,17,7
28,3,1,5.1929347826087,3.24184782608696,3,1,32,28,4.88235294117647,4.03703703703704,9,1,0.289355,32,7
26,9,2,6.58967391304348,1.82068965517241,4,0,26,30,6.41176470588235,1.67326732673267,1,1,0.5763892,30,1
14,5,1,1.44285714285714,4.46206896551724,0,2,21,14,1.3921568627451,4.21782178217822,1,1,0.5390216,21,1
2,7,2,4.45,5.2,2,3,2,11,4.75247524752475,5.94059405940594,9,1,0.6067862,11,9
30,1,3,6.56551724137931,1.82068965517241,4,0,27,30,6.11881188118812,1.67326732673267,3,1,0.2627052,27,9
34,9,2,6.50961538461539,3.24184782608696,4,1,34,28,6.1078431372549,4.03703703703704,6,1,0.3432901,28,3
18,6,3,6.62228260869565,5.18620689655172,4,3,25,18,6.24752475247525,5.2037037037037,9,1,0.2183094,25,9
15,3,2,3.26896551724138,6.64423076923077,1,4,15,23,2.88235294117647,6.37623762376238,9,1,0.3765354,23,9
21,1,2,1.44285714285714,5.18620689655172,0,3,21,18,1.3921568627451,5.2037037037037,7,1,0.5054118,18,6
20,1,1,6.56551724137931,1.45714285714286,4,0,27,20,6.11881188118812,1.97058823529412,NaN,1,3.367856,27,9
6,4,2,5.19285714285714,3.23641304347826,3,1,6,29,4.83333333333333,2.23529411764706,3,1,0.4275575,29,1
25,9,2,6.62228260869565,4.46206896551724,4,2,25,14,6.24752475247525,4.21782178217822,6,1,0.6485365,14,5
11,9,1,5.19310344827586,5.2,3,3,1,11,5.33333333333333,5.94059405940594,9,1,0.4559235,1,7
7,3,3,1.73097826086957,3.26206896551724,0,1,8,7,1.1980198019802,4.05882352941176,5,1,0.5105446,8,1
31,3,2,3.25,1.45714285714286,1,0,31,20,2.90196078431373,1.97058823529412,2,1,0.3426518,20,1
36,7,1,3.24728260869565,4.44230769230769,1,2,16,36,4.22222222222222,4.89814814814815,NaN,1,0.09319759,16,3
20,1,3,6.58967391304348,1.45714285714286,4,0,26,20,6.41176470588235,1.97058823529412,5,1,0.2505367,26,9
29,1,3,5.19310344827586,3.23641304347826,3,1,1,29,5.33333333333333,2.23529411764706,6,1,0.2092441,1,7
27,9,2,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,9,1,0.3479469,33,9
18,6,1,4.45714285714286,5.18620689655172,2,3,19,18,4.66666666666667,5.2037037037037,5,1,0.3437475,19,3
4,5,1,3.26896551724138,3.25,1,1,15,4,2.88235294117647,3.55882352941176,4,1,0.61652,15,3
35,1,2,1.51724137931034,1.82068965517241,0,0,35,12,1.40196078431373,2.13725490196078,1,1,0.1930188,12,1
23,9,1,1.58423913043478,6.64423076923077,0,4,13,23,2.00980392156863,6.37623762376238,NaN,1,0.02221194,13,1
12,1,3,5.1929347826087,1.82068965517241,3,0,32,12,4.88235294117647,2.13725490196078,3,1,0.1853336,32,7
22,3,1,1.73097826086957,1,0,0,8,22,1.1980198019802,1.25490196078431,1,1,0.2832622,8,1
10,8,2,5.19565217391304,3.26206896551724,3,1,10,7,5.85294117647059,4.05882352941176,NaN,1,0.08757307,7,3
29,1,1,4.45,3.23641304347826,2,1,2,29,4.75247524752475,2.23529411764706,9,1,1.370709,2,7
9,1,2,3.25271739130435,1,1,0,9,22,3.54455445544554,1.25490196078431,3,1,0.1515578,22,3
14,5,3,4.45714285714286,4.46206896551724,2,2,19,14,4.66666666666667,4.21782178217822,4,1,0.6230465,19,3
5,7,3,4.45,5.17857142857143,2,3,2,5,4.75247524752475,5.45098039215686,6,1,0.2489348,2,7
36,7,3,3.26896551724138,4.44230769230769,1,2,15,36,2.88235294117647,4.89814814814815,5,1,0.3345611,15,3
24,9,1,5.19565217391304,6.82758620689655,3,4,10,24,5.85294117647059,6.31372549019608,3,1,0.4267669,10,8
17,7,3,1.44285714285714,5.17857142857143,0,3,21,17,1.3921568627451,4.98039215686275,1,1,0.8618158,21,1
28,3,3,1.51724137931034,3.24184782608696,0,1,35,28,1.40196078431373,4.03703703703704,1,1,0.4780678,35,1
30,1,1,3.25,1.82068965517241,1,0,31,30,2.90196078431373,1.67326732673267,1,1,0.1729547,31,3
5,7,1,5.19285714285714,5.17857142857143,3,3,6,5,4.83333333333333,5.45098039215686,8,1,0.1449438,6,4
13,1,2,1.58423913043478,4.44230769230769,0,2,13,36,2.00980392156863,4.89814814814815,8,1,0.2944624,36,7
33,9,1,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,9,1,0.2951605,26,9
8,1,2,1.73097826086957,6.82758620689655,0,4,8,24,1.1980198019802,6.31372549019608,NaN,1,2.112984,24,9
7,3,1,3.25271739130435,3.26206896551724,1,1,9,7,3.54455445544554,4.05882352941176,1,1,0.2761032,9,1
30,1,1,5.19565217391304,1.82068965517241,3,0,10,30,5.85294117647059,1.67326732673267,5,2,0.5383449,10,8
5,7,3,6.62228260869565,5.17857142857143,4,3,25,5,6.24752475247525,5.45098039215686,8,2,0.2059923,25,9
33,9,3,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,9,2,0.4205977,26,9
6,4,2,5.19285714285714,4.46206896551724,3,2,6,14,4.83333333333333,4.21782178217822,9,2,1.336536,14,5
27,9,2,6.56551724137931,1,4,0,27,22,6.11881188118812,1.25490196078431,NaN,2,2.483188,22,3
12,1,3,5.19565217391304,1.82068965517241,3,0,10,12,5.85294117647059,2.13725490196078,4,2,0.6843399,10,8
11,9,1,6.62228260869565,5.2,4,3,25,11,6.24752475247525,5.94059405940594,9,2,0.1727218,25,9
16,3,2,3.24728260869565,1.45714285714286,1,0,16,20,4.22222222222222,1.97058823529412,1,2,0.1655044,20,1
21,1,2,1.44285714285714,5.17857142857143,0,3,21,5,1.3921568627451,5.45098039215686,9,2,0.3094257,5,7
32,7,2,5.1929347826087,6.49728260869565,3,4,32,3,4.88235294117647,6.32352941176471,9,2,1.749858,3,9
14,5,1,4.45,4.46206896551724,2,2,2,14,4.75247524752475,4.21782178217822,9,2,0.7295608,2,7
5,7,1,4.45714285714286,5.17857142857143,2,3,19,5,4.66666666666667,5.45098039215686,9,2,1.036434,19,3
3,9,3,6.50961538461539,6.49728260869565,4,4,34,3,6.1078431372549,6.32352941176471,NaN,2,0.06166595,34,9
29,1,3,3.24728260869565,3.23641304347826,1,1,16,29,4.22222222222222,2.23529411764706,6,2,0.2386011,16,3
22,3,3,3.25,1,1,0,31,22,2.90196078431373,1.25490196078431,5,2,1.783278,31,3
19,3,2,4.45714285714286,5.2,2,3,19,11,4.66666666666667,5.94059405940594,9,2,0.7848364,11,9
30,1,3,3.25271739130435,1.82068965517241,1,0,9,30,3.54455445544554,1.67326732673267,5,2,0.8191282,9,1
18,6,3,4.45,5.18620689655172,2,3,2,18,4.75247524752475,5.2037037037037,9,2,0.5596203,2,7
36,7,3,6.56551724137931,4.44230769230769,4,2,27,36,6.11881188118812,4.89814814814815,NaN,2,0.0868752,27,9
12,1,1,1.73097826086957,1.82068965517241,0,0,8,12,1.1980198019802,2.13725490196078,1,2,0.4409756,8,1
3,9,1,1.51724137931034,6.49728260869565,0,4,35,3,1.40196078431373,6.32352941176471,NaN,2,0.07336741,35,1
4,5,3,3.26896551724138,3.25,1,1,15,4,2.88235294117647,3.55882352941176,NaN,2,2.153978,15,3
28,3,1,1.44285714285714,3.24184782608696,0,1,21,28,1.3921568627451,4.03703703703704,NaN,2,0.09985733,21,1
24,9,3,1.51724137931034,6.82758620689655,0,4,35,24,1.40196078431373,6.31372549019608,1,2,0.3356546,35,1
14,5,3,5.19310344827586,4.46206896551724,3,2,1,14,5.33333333333333,4.21782178217822,6,2,0.100407,1,7
28,3,3,4.45714285714286,3.24184782608696,2,1,19,28,4.66666666666667,4.03703703703704,NaN,2,2.598892,19,3
23,9,1,3.25271739130435,6.64423076923077,1,4,9,23,3.54455445544554,6.37623762376238,NaN,2,2.028444,9,1
11,9,3,1.44285714285714,5.2,0,3,21,11,1.3921568627451,5.94059405940594,NaN,2,2.271214,21,1
33,9,1,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,NaN,2,2.972102,27,9
7,3,3,5.19285714285714,3.26206896551724,3,1,6,7,4.83333333333333,4.05882352941176,6,2,0.1066431,6,4
36,7,1,3.25,4.44230769230769,1,2,31,36,2.90196078431373,4.89814814814815,NaN,2,0.02894605,31,3
10,8,2,5.19565217391304,6.64423076923077,3,4,10,23,5.85294117647059,6.37623762376238,9,2,0.1864353,23,9
8,1,2,1.73097826086957,1.82068965517241,0,0,8,30,1.1980198019802,1.67326732673267,1,2,0.4431149,30,1
22,3,1,6.58967391304348,1,4,0,26,22,6.41176470588235,1.25490196078431,7,2,0.1069921,26,9
4,5,1,3.24728260869565,3.25,1,1,16,4,4.22222222222222,3.55882352941176,3,2,0.1984431,16,3
29,1,1,1.58423913043478,3.23641304347826,0,1,13,29,2.00980392156863,2.23529411764706,1,2,0.1926399,13,1
17,7,3,5.1929347826087,5.17857142857143,3,3,32,17,4.88235294117647,4.98039215686275,7,2,1.173809,32,7
25,9,2,6.62228260869565,3.24184782608696,4,1,25,28,6.24752475247525,4.03703703703704,4,2,0.5125289,28,3
31,3,2,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,8,2,0.1724453,33,9
20,1,1,3.26896551724138,1.45714285714286,1,0,15,20,2.88235294117647,1.97058823529412,6,2,0.1914288,15,3
2,7,2,4.45,3.26206896551724,2,1,2,7,4.75247524752475,4.05882352941176,1,2,0.1868808,7,3
23,9,3,1.73097826086957,6.64423076923077,0,4,8,23,1.1980198019802,6.37623762376238,3,2,0.2507047,8,1
13,1,2,1.58423913043478,3.25,0,1,13,4,2.00980392156863,3.55882352941176,4,2,0.529157,4,5
9,1,2,3.25271739130435,1.82068965517241,1,0,9,12,3.54455445544554,2.13725490196078,3,2,0.8646535,12,1
20,1,3,1.58423913043478,1.45714285714286,0,0,13,20,2.00980392156863,1.97058823529412,1,2,1.504202,13,1
15,3,2,3.26896551724138,3.23641304347826,1,1,15,29,2.88235294117647,2.23529411764706,NaN,2,2.504623,29,1
26,9,2,6.58967391304348,4.44230769230769,4,2,26,36,6.41176470588235,4.89814814814815,6,2,0.3367804,36,7
34,9,2,6.50961538461539,6.82758620689655,4,4,34,24,6.1078431372549,6.31372549019608,NaN,2,2.557482,24,9
1,7,2,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,6,2,0.4256051,18,6
35,1,2,1.51724137931034,5.17857142857143,0,3,35,17,1.40196078431373,4.98039215686275,3,2,1.830859,17,7
7,3,1,5.19310344827586,3.26206896551724,3,1,1,7,5.33333333333333,4.05882352941176,4,2,1.080817,1,7
17,7,1,6.50961538461539,5.17857142857143,4,3,34,17,6.1078431372549,4.98039215686275,7,2,0.1598274,34,9
18,6,1,5.19285714285714,5.18620689655172,3,3,6,18,4.83333333333333,5.2037037037037,5,2,0.2566943,6,4
24,9,1,5.1929347826087,6.82758620689655,3,4,32,24,4.88235294117647,6.31372549019608,7,2,1.500646,32,7
16,3,2,3.24728260869565,1.45714285714286,1,0,16,20,4.22222222222222,1.97058823529412,NaN,1,0.04674145,20,1
36,7,1,1.51724137931034,4.44230769230769,0,2,35,36,1.40196078431373,4.89814814814815,NaN,1,0.06703536,35,1
3,9,3,1.44285714285714,6.49728260869565,0,4,21,3,1.3921568627451,6.32352941176471,NaN,1,0.08079877,21,1
29,1,3,3.24728260869565,3.23641304347826,1,1,16,29,4.22222222222222,2.23529411764706,4,1,0.6120383,16,3
7,3,1,1.73097826086957,3.26206896551724,0,1,8,7,1.1980198019802,4.05882352941176,1,1,0.2713098,8,1
17,7,3,4.45714285714286,5.17857142857143,2,3,19,17,4.66666666666667,4.98039215686275,7,1,0.4670439,19,3
32,7,2,5.1929347826087,4.44230769230769,3,2,32,36,4.88235294117647,4.89814814814815,8,1,0.298332,36,7
4,5,1,3.24728260869565,3.25,1,1,16,4,4.22222222222222,3.55882352941176,3,1,0.3017363,16,3
30,1,1,5.19285714285714,1.82068965517241,3,0,6,30,4.83333333333333,1.67326732673267,8,1,0.6281168,6,4
27,9,2,6.56551724137931,5.17857142857143,4,3,27,5,6.11881188118812,5.45098039215686,5,1,0.7415949,5,7
22,3,1,5.1929347826087,1,3,0,32,22,4.88235294117647,1.25490196078431,7,1,0.6767851,32,7
7,3,3,5.19565217391304,3.26206896551724,3,1,10,7,5.85294117647059,4.05882352941176,7,1,0.5311134,10,8
6,4,2,5.19285714285714,6.64423076923077,3,4,6,23,4.83333333333333,6.37623762376238,9,1,0.5706289,23,9
5,7,3,3.25,5.17857142857143,1,3,31,5,2.90196078431373,5.45098039215686,5,1,0.3164586,31,3
9,1,2,3.25271739130435,3.26206896551724,1,1,9,7,3.54455445544554,4.05882352941176,3,1,0.5611747,7,3
2,7,2,4.45,1.82068965517241,2,0,2,12,4.75247524752475,2.13725490196078,1,1,1.29788,12,1
36,7,3,6.50961538461539,4.44230769230769,4,2,34,36,6.1078431372549,4.89814814814815,NaN,1,0.02175133,34,9
28,3,1,6.56551724137931,3.24184782608696,4,1,27,28,6.11881188118812,4.03703703703704,9,1,0.5061207,27,9
20,1,1,3.26896551724138,1.45714285714286,1,0,15,20,2.88235294117647,1.97058823529412,4,1,0.6445102,15,3
30,1,3,4.45,1.82068965517241,2,0,2,30,4.75247524752475,1.67326732673267,NaN,1,0.07279177,2,7
17,7,1,1.44285714285714,5.17857142857143,0,3,21,17,1.3921568627451,4.98039215686275,1,1,0.3299683,21,1
1,7,2,5.19310344827586,1.82068965517241,3,0,1,30,5.33333333333333,1.67326732673267,1,1,0.3095566,30,1
24,9,1,4.45714285714286,6.82758620689655,2,4,19,24,4.66666666666667,6.31372549019608,5,1,0.1773821,19,3
12,1,1,5.19310344827586,1.82068965517241,3,0,1,12,5.33333333333333,2.13725490196078,8,1,0.4536713,1,7
22,3,3,1.51724137931034,1,0,0,35,22,1.40196078431373,1.25490196078431,1,1,0.3817362,35,1
15,3,2,3.26896551724138,3.23641304347826,1,1,15,29,2.88235294117647,2.23529411764706,1,1,0.440113,29,1
33,9,3,5.1929347826087,6.49038461538461,3,4,32,33,4.88235294117647,6.12037037037037,9,1,0.2048708,32,7
21,1,2,1.44285714285714,6.82758620689655,0,4,21,24,1.3921568627451,6.31372549019608,9,1,1.360502,24,9
5,7,1,6.58967391304348,5.17857142857143,4,3,26,5,6.41176470588235,5.45098039215686,9,1,0.3863186,26,9
24,9,3,6.62228260869565,6.82758620689655,4,4,25,24,6.24752475247525,6.31372549019608,9,1,0.4010064,25,9
34,9,2,6.50961538461539,1,4,0,34,22,6.1078431372549,1.25490196078431,NaN,1,0.01578139,22,3
25,9,2,6.62228260869565,5.17857142857143,4,3,25,17,6.24752475247525,4.98039215686275,8,1,0.1844097,17,7
12,1,3,5.19285714285714,1.82068965517241,3,0,6,12,4.83333333333333,2.13725490196078,3,1,1.025342,6,4
18,6,3,3.25271739130435,5.18620689655172,1,3,9,18,3.54455445544554,5.2037037037037,1,1,0.3419453,9,1
14,5,3,1.73097826086957,4.46206896551724,0,2,8,14,1.1980198019802,4.21782178217822,1,1,0.1451042,8,1
31,3,2,3.25,3.24184782608696,1,1,31,28,2.90196078431373,4.03703703703704,7,1,0.1404208,28,3
18,6,1,5.19565217391304,5.18620689655172,3,3,10,18,5.85294117647059,5.2037037037037,9,1,0.3992931,10,8
23,9,1,4.45,6.64423076923077,2,4,2,23,4.75247524752475,6.37623762376238,7,1,0.2392177,2,7
28,3,3,6.58967391304348,3.24184782608696,4,1,26,28,6.41176470588235,4.03703703703704,NaN,1,0.00922426,26,9
3,9,1,6.62228260869565,6.49728260869565,4,4,25,3,6.24752475247525,6.32352941176471,9,1,0.5001275,25,9
4,5,3,3.26896551724138,3.25,1,1,15,4,2.88235294117647,3.55882352941176,3,1,0.1127949,15,3
20,1,3,1.58423913043478,1.45714285714286,0,0,13,20,2.00980392156863,1.97058823529412,1,1,0.1456162,13,1
35,1,2,1.51724137931034,6.49038461538461,0,4,35,33,1.40196078431373,6.12037037037037,9,1,0.5654235,33,9
23,9,3,5.19310344827586,6.64423076923077,3,4,1,23,5.33333333333333,6.37623762376238,9,1,0.5660943,1,7
10,8,2,5.19565217391304,4.46206896551724,3,2,10,14,5.85294117647059,4.21782178217822,6,1,1.354361,14,5
29,1,1,1.58423913043478,3.23641304347826,0,1,13,29,2.00980392156863,2.23529411764706,1,1,0.8113157,13,1
8,1,2,1.73097826086957,5.18620689655172,0,3,8,18,1.1980198019802,5.2037037037037,NaN,1,2.012158,18,6
11,9,3,6.56551724137931,5.2,4,3,27,11,6.11881188118812,5.94059405940594,8,1,0.5397374,27,9
13,1,2,1.58423913043478,3.25,0,1,13,4,2.00980392156863,3.55882352941176,NaN,1,0.0223244,4,5
33,9,1,6.50961538461539,6.49038461538461,4,4,34,33,6.1078431372549,6.12037037037037,9,1,0.4591264,34,9
11,9,1,3.25,5.2,1,3,31,11,2.90196078431373,5.94059405940594,NaN,1,0.04224224,31,3
14,5,1,3.25271739130435,4.46206896551724,1,2,9,14,3.54455445544554,4.21782178217822,3,1,0.3291803,9,1
26,9,2,6.58967391304348,5.2,4,3,26,11,6.41176470588235,5.94059405940594,9,1,1.724595,11,9
19,3,2,4.45714285714286,6.49728260869565,2,4,19,3,4.66666666666667,6.32352941176471,9,1,0.847091,3,9
12,1,3,4.45714285714286,1.82068965517241,2,0,19,12,4.66666666666667,2.13725490196078,3,2,0.5177741,19,3
20,1,3,5.1929347826087,1.45714285714286,3,0,32,20,4.88235294117647,1.97058823529412,1,2,0.7374848,32,7
8,1,2,1.73097826086957,6.64423076923077,0,4,8,23,1.1980198019802,6.37623762376238,1,2,0.788797,23,9
21,1,2,1.44285714285714,4.44230769230769,0,2,21,36,1.3921568627451,4.89814814814815,1,2,0.2113627,36,7
11,9,1,4.45,5.2,2,3,2,11,4.75247524752475,5.94059405940594,3,2,0.1527251,2,7
33,9,1,6.62228260869565,6.49038461538461,4,4,25,33,6.24752475247525,6.12037037037037,NaN,2,0.02899164,25,9
17,7,1,5.19310344827586,5.17857142857143,3,3,1,17,5.33333333333333,4.98039215686275,8,2,0.3367848,1,7
3,9,1,1.58423913043478,6.49728260869565,0,4,13,3,2.00980392156863,6.32352941176471,1,2,0.1003005,13,1
11,9,3,5.19310344827586,5.2,3,3,1,11,5.33333333333333,5.94059405940594,9,2,1.426675,1,7
32,7,2,5.1929347826087,5.17857142857143,3,3,32,5,4.88235294117647,5.45098039215686,7,2,0.125103,5,7
17,7,3,5.19285714285714,5.17857142857143,3,3,6,17,4.83333333333333,4.98039215686275,8,2,0.1000446,6,4
1,7,2,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,6,2,0.3048823,18,6
24,9,1,3.25271739130435,6.82758620689655,1,4,9,24,3.54455445544554,6.31372549019608,3,2,1.191665,9,1
