Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
28,5,3,3.25,3.24184782608696,1,1,31,28,2.90196078431373,4.03703703703704,4,1,0.5182842,31,5
12,1,1,6.50961538461539,1.82068965517241,4,0,34,12,6.1078431372549,2.13725490196078,8,1,0.2517895,34,9
20,1,3,1.51724137931034,1.45714285714286,0,0,35,20,1.40196078431373,1.97058823529412,4,1,0.7147213,35,1
29,7,3,5.19285714285714,3.23641304347826,3,1,6,29,4.83333333333333,2.23529411764706,5,1,1.251562,6,8
17,5,3,3.24728260869565,5.17857142857143,1,3,16,17,4.22222222222222,4.98039215686275,5,1,0.5959253,16,3
18,3,3,4.45,5.18620689655172,2,3,2,18,4.75247524752475,5.2037037037037,5,1,1.842786,2,5
5,1,3,6.58967391304348,5.17857142857143,4,3,26,5,6.41176470588235,5.45098039215686,6,1,0.4984466,26,9
2,5,2,4.45,3.23641304347826,2,1,2,29,4.75247524752475,2.23529411764706,NaN,1,3.785734,29,7
10,1,2,5.19565217391304,6.64423076923077,3,4,10,23,5.85294117647059,6.37623762376238,8,1,0.5485236,23,9
21,1,2,1.44285714285714,4.44230769230769,0,2,21,36,1.3921568627451,4.89814814814815,5,1,0.1790348,36,3
13,1,2,1.58423913043478,4.46206896551724,0,2,13,14,2.00980392156863,4.21782178217822,4,1,0.8749804,14,7
24,9,1,3.26896551724138,6.82758620689655,1,4,15,24,2.88235294117647,6.31372549019608,4,1,0.3627518,15,3
1,5,2,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,4,1,0.4165095,18,3
20,1,1,5.1929347826087,1.45714285714286,3,0,32,20,4.88235294117647,1.97058823529412,7,1,0.1190264,32,8
15,3,2,3.26896551724138,5.17857142857143,1,3,15,17,2.88235294117647,4.98039215686275,NaN,1,3.420732,17,5
12,1,3,5.1929347826087,1.82068965517241,3,0,32,12,4.88235294117647,2.13725490196078,6,1,0.1132001,32,8
11,1,1,1.51724137931034,5.2,0,3,35,11,1.40196078431373,5.94059405940594,5,1,1.722581,35,1
33,9,3,3.25271739130435,6.49038461538461,1,4,9,33,3.54455445544554,6.12037037037037,5,1,1.368265,9,2
5,1,1,6.56551724137931,5.17857142857143,4,3,27,5,6.11881188118812,5.45098039215686,8,1,0.3415846,27,9
36,3,1,4.45714285714286,4.44230769230769,2,2,19,36,4.66666666666667,4.89814814814815,5,1,0.5176451,19,2
3,9,1,6.62228260869565,6.49728260869565,4,4,25,3,6.24752475247525,6.32352941176471,7,1,0.2188884,25,7
28,5,1,6.58967391304348,3.24184782608696,4,1,26,28,6.41176470588235,4.03703703703704,8,1,0.2103958,26,9
3,9,3,1.44285714285714,6.49728260869565,0,4,21,3,1.3921568627451,6.32352941176471,NaN,1,2.354782,21,1
18,3,1,5.19285714285714,5.18620689655172,3,3,6,18,4.83333333333333,5.2037037037037,NaN,1,4.382103,6,8
19,2,2,4.45714285714286,6.49728260869565,2,4,19,3,4.66666666666667,6.32352941176471,9,1,0.5314514,3,9
32,8,2,5.1929347826087,5.2,3,3,32,11,4.88235294117647,5.94059405940594,4,1,0.6744694,11,1
17,5,1,1.58423913043478,5.17857142857143,0,3,13,17,2.00980392156863,4.98039215686275,1,1,0.6983286,13,1
25,7,2,6.62228260869565,3.25,4,1,25,4,6.24752475247525,3.55882352941176,6,1,0.9328491,4,5
22,2,1,4.45,1,2,0,2,22,4.75247524752475,1.25490196078431,NaN,1,2.361485,2,5
33,9,1,5.19565217391304,6.49038461538461,3,4,10,33,5.85294117647059,6.12037037037037,3,1,1.952699,10,1
31,5,2,3.25,5.17857142857143,1,3,31,5,2.90196078431373,5.45098039215686,1,1,0.9865059,5,1
23,9,3,1.73097826086957,6.64423076923077,0,4,8,23,1.1980198019802,6.37623762376238,4,1,1.529894,8,1
22,2,3,5.19310344827586,1,3,0,1,22,5.33333333333333,1.25490196078431,4,1,1.679558,1,5
11,1,3,6.50961538461539,5.2,4,3,34,11,6.1078431372549,5.94059405940594,NaN,1,2.083204,34,9
14,7,3,3.26896551724138,4.46206896551724,1,2,15,14,2.88235294117647,4.21782178217822,5,1,1.674259,15,3
7,2,3,5.19565217391304,3.26206896551724,3,1,10,7,5.85294117647059,4.05882352941176,3,1,1.692717,10,1
36,3,3,6.62228260869565,4.44230769230769,4,2,25,36,6.24752475247525,4.89814814814815,5,1,0.6034759,25,7
