Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
27,7,3,3.23641304347826,6.56551724137931,1,4,29,27,2.23529411764706,6.11881188118812,4,1,1.83337,29,2
10,4,1,6.49038461538461,5.19565217391304,4,3,33,10,6.12037037037037,5.85294117647059,NaN,1,3.7538,33,6
19,2,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,2,1,0.3969314,36,3
31,1,3,5.17857142857143,3.25,3,1,5,31,5.45098039215686,2.90196078431373,1,1,0.2316759,5,3
15,2,3,5.18620689655172,3.26896551724138,3,1,18,15,5.2037037037037,2.88235294117647,2,1,1.543555,18,3
16,3,3,3.25,3.24728260869565,1,1,4,16,3.55882352941176,4.22222222222222,1,1,0.573441,4,2
6,5,3,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,6,1,0.7642,24,7
4,2,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,1,1,0.205489,31,1
12,1,2,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,5,1,0.3132545,25,6
22,1,2,1,1.51724137931034,0,0,22,35,1.25490196078431,1.40196078431373,NaN,1,2.73521,35,1
14,1,2,4.46206896551724,1.58423913043478,2,0,14,13,4.21782178217822,2.00980392156863,1,1,0.3639053,13,1
26,6,1,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,NaN,1,5.242613,17,3
3,7,2,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,1,1,0.1014859,16,3
19,2,1,1.82068965517241,4.45714285714286,0,2,30,19,1.67326732673267,4.66666666666667,1,1,0.2905546,30,1
17,3,2,5.17857142857143,3.26896551724138,3,1,17,15,4.98039215686275,2.88235294117647,3,1,1.442976,15,2
10,4,3,1.82068965517241,5.19565217391304,0,3,30,10,1.67326732673267,5.85294117647059,1,1,1.568122,30,1
9,1,1,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,2,1,1.741312,36,3
34,7,3,5.2,6.50961538461539,3,4,11,34,5.94059405940594,6.1078431372549,8,1,1.393336,11,3
6,5,1,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,2,1,0.5979122,28,2
35,1,1,1.45714285714286,1.51724137931034,0,0,20,35,1.97058823529412,1.40196078431373,1,1,1.288142,20,1
1,3,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,7,1,1.953687,23,7
27,7,1,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,7,1,0.1009261,24,7
1,3,3,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,1,1,0.8986201,22,1
16,3,1,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,NaN,1,2.001848,5,3
20,1,2,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,4,1,1.840009,1,3
30,1,2,1.82068965517241,3.25271739130435,0,1,30,9,1.67326732673267,3.54455445544554,3,1,0.107633,9,1
15,2,1,4.46206896551724,3.26896551724138,2,1,14,15,4.21782178217822,2.88235294117647,2,1,0.6054876,14,1
23,7,2,6.64423076923077,4.45,4,2,23,2,6.37623762376238,4.75247524752475,3,1,1.303209,2,3
21,1,1,3.25,1.44285714285714,1,0,4,21,3.55882352941176,1.3921568627451,1,1,0.4461874,4,2
34,7,1,1.82068965517241,6.50961538461539,0,4,12,34,2.13725490196078,6.1078431372549,3,1,1.295195,12,1
29,2,2,3.23641304347826,5.19285714285714,1,3,29,6,2.23529411764706,4.83333333333333,3,1,1.785975,6,5
25,6,3,3.26206896551724,6.62228260869565,1,4,7,25,4.05882352941176,6.24752475247525,5,1,0.9870432,7,2
21,1,3,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,3,1,1.17493,3,7
9,1,3,6.49038461538461,3.25271739130435,4,1,33,9,6.12037037037037,3.54455445544554,NaN,1,2.860028,33,6
13,1,3,5.17857142857143,1.58423913043478,3,0,17,13,4.98039215686275,2.00980392156863,NaN,1,2.906284,17,3
8,1,3,1.82068965517241,1.73097826086957,0,0,12,8,2.13725490196078,1.1980198019802,1,1,0.4546755,12,1
35,1,3,6.64423076923077,1.51724137931034,4,0,23,35,6.37623762376238,1.40196078431373,2,1,0.5975778,23,7
11,3,2,5.2,1.73097826086957,3,0,11,8,5.94059405940594,1.1980198019802,1,1,0.2387669,8,1
26,6,3,4.46206896551724,6.58967391304348,2,4,14,26,4.21782178217822,6.41176470588235,3,1,1.480356,14,1
31,1,1,6.49728260869565,3.25,4,1,3,31,6.32352941176471,2.90196078431373,6,1,0.5125732,3,7
25,6,1,5.2,6.62228260869565,3,4,11,25,5.94059405940594,6.24752475247525,NaN,1,2.40251,11,3
2,3,3,1.45714285714286,4.45,0,2,20,2,1.97058823529412,4.75247524752475,NaN,1,2.142524,20,1
32,6,3,3.24184782608696,5.1929347826087,1,3,28,32,4.03703703703704,4.88235294117647,3,1,1.275348,28,2
2,3,1,1,4.45,0,2,22,2,1.25490196078431,4.75247524752475,NaN,1,0.04818989,22,1
24,7,2,6.82758620689655,5.1929347826087,4,3,24,32,6.31372549019608,4.88235294117647,6,1,0.4674954,32,6
33,6,2,6.49038461538461,4.45714285714286,4,2,33,19,6.12037037037037,4.66666666666667,2,1,0.2839719,19,2
8,1,1,3.26206896551724,1.73097826086957,1,0,7,8,4.05882352941176,1.1980198019802,NaN,1,2.131778,7,2
13,1,1,5.18620689655172,1.58423913043478,3,0,18,13,5.2037037037037,2.00980392156863,NaN,1,0.009207722,18,3
28,2,2,3.24184782608696,6.56551724137931,1,4,28,27,4.03703703703704,6.11881188118812,6,1,0.4603401,27,7
7,2,2,3.26206896551724,6.50961538461539,1,4,7,34,4.05882352941176,6.1078431372549,6,1,0.7105975,34,7
36,3,2,4.44230769230769,5.19565217391304,2,3,36,10,4.89814814814815,5.85294117647059,NaN,1,0.06820107,10,4
18,3,2,5.18620689655172,6.58967391304348,3,4,18,26,5.2037037037037,6.41176470588235,7,1,0.1803469,26,6
32,6,1,3.23641304347826,5.1929347826087,1,3,29,32,2.23529411764706,4.88235294117647,NaN,1,3.230448,29,2
5,3,2,5.17857142857143,1.44285714285714,3,0,5,21,5.45098039215686,1.3921568627451,1,1,0.3427551,21,1
19,2,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,4,2,1.845496,36,3
2,3,3,6.49728260869565,4.45,4,2,3,2,6.32352941176471,4.75247524752475,4,2,0.7710107,3,7
34,7,1,3.23641304347826,6.50961538461539,1,4,29,34,2.23529411764706,6.1078431372549,1,2,0.3104505,29,2
26,6,1,5.2,6.58967391304348,3,4,11,26,5.94059405940594,6.41176470588235,2,2,0.4293677,11,3
2,3,1,3.25,4.45,1,2,4,2,3.55882352941176,4.75247524752475,1,2,0.1131785,4,2
1,3,1,5.17857142857143,5.19310344827586,3,3,5,1,5.45098039215686,5.33333333333333,1,2,1.419672,5,3
6,5,1,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,1,2,0.1788112,22,1
35,1,1,6.49728260869565,1.51724137931034,4,0,3,35,6.32352941176471,1.40196078431373,NaN,2,2.144924,3,7
