Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
27,7,3,3.23641304347826,6.56551724137931,1,4,29,27,2.23529411764706,6.11881188118812,7,1,0.9097011,29,4
10,8,1,6.49038461538461,5.19565217391304,4,3,33,10,6.12037037037037,5.85294117647059,7,1,0.3031934,33,5
19,5,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,5,1,1.424193,36,8
31,4,3,5.17857142857143,3.25,3,1,5,31,5.45098039215686,2.90196078431373,NaN,1,2.032844,5,6
15,4,3,5.18620689655172,3.26896551724138,3,1,18,15,5.2037037037037,2.88235294117647,4,1,1.043925,18,4
16,5,3,3.25,3.24728260869565,1,1,4,16,3.55882352941176,4.22222222222222,NaN,1,2.258357,4,4
6,7,3,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,8,1,0.8771145,24,8
4,4,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,3,1,1.232408,31,4
12,2,2,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,8,1,0.5380902,25,8
22,1,2,1,1.51724137931034,0,0,22,35,1.25490196078431,1.40196078431373,3,1,0.5502835,35,2
14,5,2,4.46206896551724,1.58423913043478,2,0,14,13,4.21782178217822,2.00980392156863,4,1,0.2238311,13,2
26,7,1,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,5,1,1.927155,17,4
3,8,2,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,4,1,0.4533692,16,5
19,5,1,1.82068965517241,4.45714285714286,0,2,30,19,1.67326732673267,4.66666666666667,2,1,0.6892123,30,1
17,4,2,5.17857142857143,3.26896551724138,3,1,17,15,4.98039215686275,2.88235294117647,2,1,0.3878473,15,4
10,8,3,1.82068965517241,5.19565217391304,0,3,30,10,1.67326732673267,5.85294117647059,NaN,1,2.296494,30,1
9,2,1,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,7,1,0.8198495,36,8
34,7,3,5.2,6.50961538461539,3,4,11,34,5.94059405940594,6.1078431372549,8,1,0.2142648,11,8
6,7,1,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,5,1,0.8118033,28,3
35,2,1,1.45714285714286,1.51724137931034,0,0,20,35,1.97058823529412,1.40196078431373,NaN,1,0.06137174,20,1
1,6,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,7,1,0.1053089,23,8
27,7,1,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,NaN,1,3.695405,24,8
1,6,3,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,6,1,0.8608864,22,1
16,5,1,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,6,1,0.4839048,5,6
20,1,2,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,NaN,1,0.06047525,1,6
