Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
28,8,3,3.25,3.24184782608696,1,1,31,28,2.90196078431373,4.03703703703704,6,1,1.978596,31,5
12,2,1,6.50961538461539,1.82068965517241,4,0,34,12,6.1078431372549,2.13725490196078,NaN,1,2.32941,34,8
20,1,3,1.51724137931034,1.45714285714286,0,0,35,20,1.40196078431373,1.97058823529412,NaN,1,2.094898,35,4
29,6,3,5.19285714285714,3.23641304347826,3,1,6,29,4.83333333333333,2.23529411764706,NaN,1,2.103915,6,7
17,5,3,3.24728260869565,5.17857142857143,1,3,16,17,4.22222222222222,4.98039215686275,NaN,1,3.992637,16,4
18,5,3,4.45,5.18620689655172,2,3,2,18,4.75247524752475,5.2037037037037,NaN,1,7.263402,2,6
5,9,3,6.58967391304348,5.17857142857143,4,3,26,5,6.41176470588235,5.45098039215686,9,1,1.856555,26,8
2,6,2,4.45,3.23641304347826,2,1,2,29,4.75247524752475,2.23529411764706,6,1,1.47455,29,6
10,9,2,5.19565217391304,6.64423076923077,3,4,10,23,5.85294117647059,6.37623762376238,NaN,1,2.04979,23,8
21,1,2,1.44285714285714,4.44230769230769,0,2,21,36,1.3921568627451,4.89814814814815,NaN,1,2.920151,36,9
13,1,2,1.58423913043478,4.46206896551724,0,2,13,14,2.00980392156863,4.21782178217822,NaN,1,6.559474,14,5
24,7,1,3.26896551724138,6.82758620689655,1,4,15,24,2.88235294117647,6.31372549019608,NaN,1,4.244281,15,4
1,7,2,5.19310344827586,5.18620689655172,3,3,1,18,5.33333333333333,5.2037037037037,7,1,1.141992,18,5
20,1,1,5.1929347826087,1.45714285714286,3,0,32,20,4.88235294117647,1.97058823529412,9,1,1.127173,32,9
15,4,2,3.26896551724138,5.17857142857143,1,3,15,17,2.88235294117647,4.98039215686275,NaN,1,2.807584,17,5
12,2,3,5.1929347826087,1.82068965517241,3,0,32,12,4.88235294117647,2.13725490196078,NaN,1,2.834909,32,9
11,9,1,1.51724137931034,5.2,0,3,35,11,1.40196078431373,5.94059405940594,NaN,1,3.003064,35,4
33,7,3,3.25271739130435,6.49038461538461,1,4,9,33,3.54455445544554,6.12037037037037,NaN,1,3.860468,9,2
5,9,1,6.56551724137931,5.17857142857143,4,3,27,5,6.11881188118812,5.45098039215686,9,1,1.274512,27,8
36,9,1,4.45714285714286,4.44230769230769,2,2,19,36,4.66666666666667,4.89814814814815,NaN,1,2.85729,19,9
3,8,1,6.62228260869565,6.49728260869565,4,4,25,3,6.24752475247525,6.32352941176471,NaN,1,2.157074,25,9
28,8,1,6.58967391304348,3.24184782608696,4,1,26,28,6.41176470588235,4.03703703703704,NaN,1,2.225853,26,8
3,8,3,1.44285714285714,6.49728260869565,0,4,21,3,1.3921568627451,6.32352941176471,1,1,1.697458,21,1
18,5,1,5.19285714285714,5.18620689655172,3,3,6,18,4.83333333333333,5.2037037037037,NaN,1,4.274762,6,7
19,9,2,4.45714285714286,6.49728260869565,2,4,19,3,4.66666666666667,6.32352941176471,8,1,1.912824,3,8
32,9,2,5.1929347826087,5.2,3,3,32,11,4.88235294117647,5.94059405940594,9,1,1.513452,11,9
17,5,1,1.58423913043478,5.17857142857143,0,3,13,17,2.00980392156863,4.98039215686275,NaN,1,2.072433,13,1
25,9,2,6.62228260869565,3.25,4,1,25,4,6.24752475247525,3.55882352941176,NaN,1,5.584842,4,7
22,5,1,4.45,1,2,0,2,22,4.75247524752475,1.25490196078431,6,1,0.9488449,2,6
33,7,1,5.19565217391304,6.49038461538461,3,4,10,33,5.85294117647059,6.12037037037037,9,1,0.8582616,10,9
31,5,2,3.25,5.17857142857143,1,3,31,5,2.90196078431373,5.45098039215686,9,1,0.8750482,5,9
23,8,3,1.73097826086957,6.64423076923077,0,4,8,23,1.1980198019802,6.37623762376238,1,1,1.585633,8,1
22,5,3,5.19310344827586,1,3,0,1,22,5.33333333333333,1.25490196078431,NaN,1,2.852954,1,7
11,9,3,6.50961538461539,5.2,4,3,34,11,6.1078431372549,5.94059405940594,NaN,1,2.005554,34,8
14,5,3,3.26896551724138,4.46206896551724,1,2,15,14,2.88235294117647,4.21782178217822,6,1,1.120632,15,4
7,5,3,5.19565217391304,3.26206896551724,3,1,10,7,5.85294117647059,4.05882352941176,NaN,1,2.818138,10,9
36,9,3,6.62228260869565,4.44230769230769,4,2,25,36,6.24752475247525,4.89814814814815,9,1,1.061922,25,9
9,2,2,3.25271739130435,3.26206896551724,1,1,9,7,3.54455445544554,4.05882352941176,NaN,1,2.202763,7,5
24,7,3,1.58423913043478,6.82758620689655,0,4,13,24,2.00980392156863,6.31372549019608,1,1,0.3973229,13,1
29,6,1,5.19310344827586,3.23641304347826,3,1,1,29,5.33333333333333,2.23529411764706,NaN,1,4.491944,1,7
23,8,1,3.25271739130435,6.64423076923077,1,4,9,23,3.54455445544554,6.37623762376238,2,1,0.7190599,9,2
4,7,3,4.45714285714286,3.25,2,1,19,4,4.66666666666667,3.55882352941176,9,1,0.8975931,19,9
30,2,3,6.56551724137931,1.82068965517241,4,0,27,30,6.11881188118812,1.67326732673267,NaN,1,2.339893,27,8
4,7,1,1.44285714285714,3.25,0,1,21,4,1.3921568627451,3.55882352941176,NaN,1,3.123689,21,1
26,8,2,6.58967391304348,1.82068965517241,4,0,26,30,6.41176470588235,1.67326732673267,1,1,1.478525,30,2
34,8,2,6.50961538461539,1.45714285714286,4,0,34,20,6.1078431372549,1.97058823529412,1,1,0.3917491,20,1
7,5,1,1.73097826086957,3.26206896551724,0,1,8,7,1.1980198019802,4.05882352941176,1,1,0.2636579,8,1
14,5,1,3.24728260869565,4.46206896551724,1,2,16,14,4.22222222222222,4.21782178217822,4,1,1.55792,16,4
27,8,2,6.56551724137931,3.24184782608696,4,1,27,28,6.11881188118812,4.03703703703704,8,1,1.738456,28,8
8,1,2,1.73097826086957,6.49038461538461,0,4,8,33,1.1980198019802,6.12037037037037,NaN,1,3.353585,33,7
35,4,2,1.51724137931034,1.82068965517241,0,0,35,12,1.40196078431373,2.13725490196078,2,1,1.320037,12,2
16,4,2,3.24728260869565,6.82758620689655,1,4,16,24,4.22222222222222,6.31372549019608,7,1,1.119793,24,7
30,2,1,3.25,1.82068965517241,1,0,31,30,2.90196078431373,1.67326732673267,NaN,1,2.105725,31,5
6,7,2,5.19285714285714,1,3,0,6,22,4.83333333333333,1.25490196078431,NaN,1,2.698407,22,5
20,1,3,1.51724137931034,1.45714285714286,0,0,35,20,1.40196078431373,1.97058823529412,1,2,1.283082,35,4
4,7,3,5.19310344827586,3.25,3,1,1,4,5.33333333333333,3.55882352941176,NaN,2,3.947798,1,7
33,7,1,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,NaN,2,2.420647,31,5
24,7,1,3.25271739130435,6.82758620689655,1,4,9,24,3.54455445544554,6.31372549019608,3,2,1.340208,9,2
4,7,1,4.45,3.25,2,1,2,4,4.75247524752475,3.55882352941176,7,2,1.41887,2,6
3,8,1,5.19285714285714,6.49728260869565,3,4,6,3,4.83333333333333,6.32352941176471,8,2,1.166174,6,7
5,9,1,1.44285714285714,5.17857142857143,0,3,21,5,1.3921568627451,5.45098039215686,1,2,0.2514182,21,1
36,9,1,5.19310344827586,4.44230769230769,3,2,1,36,5.33333333333333,4.89814814814815,7,2,0.4979092,1,7
17,5,3,5.19565217391304,5.17857142857143,3,3,10,17,5.85294117647059,4.98039215686275,NaN,2,4.558194,10,9
15,4,2,3.26896551724138,3.23641304347826,1,1,15,29,2.88235294117647,2.23529411764706,NaN,2,2.865111,29,6
25,9,2,6.62228260869565,5.17857142857143,4,3,25,5,6.24752475247525,5.45098039215686,9,2,0.3873396,5,9
9,2,2,3.25271739130435,5.17857142857143,1,3,9,17,3.54455445544554,4.98039215686275,NaN,2,2.512309,17,5
20,1,1,5.1929347826087,1.45714285714286,3,0,32,20,4.88235294117647,1.97058823529412,NaN,2,3.23731,32,9
23,8,1,6.56551724137931,6.64423076923077,4,4,27,23,6.11881188118812,6.37623762376238,9,2,1.244167,27,8
29,6,3,3.24728260869565,3.23641304347826,1,1,16,29,4.22222222222222,2.23529411764706,NaN,2,2.84981,16,4
28,8,1,4.45714285714286,3.24184782608696,2,1,19,28,4.66666666666667,4.03703703703704,9,2,0.6618041,19,9
6,7,2,5.19285714285714,3.25,3,1,6,4,4.83333333333333,3.55882352941176,9,2,1.840399,4,7
33,7,3,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,9,2,0.9357033,27,8
1,7,2,5.19310344827586,6.49728260869565,3,4,1,3,5.33333333333333,6.32352941176471,9,2,0.6500275,3,8
19,9,2,4.45714285714286,1.82068965517241,2,0,19,30,4.66666666666667,1.67326732673267,2,2,1.741689,30,2
18,5,1,3.24728260869565,5.18620689655172,1,3,16,18,4.22222222222222,5.2037037037037,5,2,1.619124,16,4
22,5,1,3.26896551724138,1,1,0,15,22,2.88235294117647,1.25490196078431,6,2,0.9045194,15,4
8,1,2,1.73097826086957,4.46206896551724,0,2,8,14,1.1980198019802,4.21782178217822,5,2,1.75861,14,5
27,8,2,6.56551724137931,3.26206896551724,4,1,27,7,6.11881188118812,4.05882352941176,NaN,2,3.447708,7,5
31,5,2,3.25,6.64423076923077,1,4,31,23,2.90196078431373,6.37623762376238,9,2,0.717617,23,8
11,9,3,6.50961538461539,5.2,4,3,34,11,6.1078431372549,5.94059405940594,9,2,1.017233,34,8
3,8,3,4.45,6.49728260869565,2,4,2,3,4.75247524752475,6.32352941176471,8,2,1.418922,2,6
13,1,2,1.58423913043478,5.18620689655172,0,3,13,18,2.00980392156863,5.2037037037037,NaN,2,2.366656,18,5
16,4,2,3.24728260869565,1,1,0,16,22,4.22222222222222,1.25490196078431,2,2,0.6557428,22,5
14,5,3,3.25271739130435,4.46206896551724,1,2,9,14,3.54455445544554,4.21782178217822,NaN,2,2.610901,9,2
12,2,3,5.1929347826087,1.82068965517241,3,0,32,12,4.88235294117647,2.13725490196078,NaN,2,2.867406,32,9
30,2,1,6.62228260869565,1.82068965517241,4,0,25,30,6.24752475247525,1.67326732673267,7,2,1.29447,25,9
24,7,3,1.73097826086957,6.82758620689655,0,4,8,24,1.1980198019802,6.31372549019608,1,2,0.5072329,8,1
29,6,1,1.58423913043478,3.23641304347826,0,1,13,29,2.00980392156863,2.23529411764706,NaN,2,2.613038,13,1
30,2,3,1.44285714285714,1.82068965517241,0,0,21,30,1.3921568627451,1.67326732673267,1,2,0.4257495,21,1
11,9,1,1.51724137931034,5.2,0,3,35,11,1.40196078431373,5.94059405940594,4,2,1.045013,35,4
22,5,3,1.58423913043478,1,0,0,13,22,2.00980392156863,1.25490196078431,1,2,0.2892151,13,1
34,8,2,6.50961538461539,1.45714285714286,4,0,34,20,6.1078431372549,1.97058823529412,1,2,0.9696558,20,1
2,6,2,4.45,4.44230769230769,2,2,2,36,4.75247524752475,4.89814814814815,9,2,0.5391599,36,9
17,5,1,1.73097826086957,5.17857142857143,0,3,8,17,1.1980198019802,4.98039215686275,1,2,0.1449818,8,1
7,5,1,6.58967391304348,3.26206896551724,4,1,26,7,6.41176470588235,4.05882352941176,9,2,0.5779371,26,8
14,5,1,5.19565217391304,4.46206896551724,3,2,10,14,5.85294117647059,4.21782178217822,9,2,1.817856,10,9
18,5,3,3.26896551724138,5.18620689655172,1,3,15,18,2.88235294117647,5.2037037037037,NaN,2,2.200052,15,4
5,9,3,4.45714285714286,5.17857142857143,2,3,19,5,4.66666666666667,5.45098039215686,9,2,0.472572,19,9
26,8,2,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,9,2,0.4649461,33,7
32,9,2,5.1929347826087,5.2,3,3,32,11,4.88235294117647,5.94059405940594,9,2,0.4386927,11,9
28,8,3,6.62228260869565,3.24184782608696,4,1,25,28,6.24752475247525,4.03703703703704,9,2,0.650119,25,9
23,8,3,6.58967391304348,6.64423076923077,4,4,26,23,6.41176470588235,6.37623762376238,9,2,0.3559444,26,8
21,1,2,1.44285714285714,3.24184782608696,0,1,21,28,1.3921568627451,4.03703703703704,8,2,1.218275,28,8
7,5,3,3.25,3.26206896551724,1,1,31,7,2.90196078431373,4.05882352941176,NaN,2,3.639301,31,5
36,9,3,5.19285714285714,4.44230769230769,3,2,6,36,4.83333333333333,4.89814814814815,9,2,0.9197708,6,7
10,9,2,5.19565217391304,6.82758620689655,3,4,10,24,5.85294117647059,6.31372549019608,9,2,1.556926,24,7
35,4,2,1.51724137931034,1.82068965517241,0,0,35,12,1.40196078431373,2.13725490196078,1,2,1.273962,12,2
12,2,1,6.50961538461539,1.82068965517241,4,0,34,12,6.1078431372549,2.13725490196078,9,2,1.184493,34,8
18,5,3,6.58967391304348,5.18620689655172,4,3,26,18,6.41176470588235,5.2037037037037,NaN,1,3.588093,26,8
9,2,2,3.25271739130435,6.82758620689655,1,4,9,24,3.54455445544554,6.31372549019608,8,1,1.638495,24,7
22,5,1,4.45,1,2,0,2,22,4.75247524752475,1.25490196078431,8,1,0.929023,2,6
25,9,2,6.62228260869565,1.82068965517241,4,0,25,12,6.24752475247525,2.13725490196078,1,1,0.6672222,12,2
24,7,1,1.73097826086957,6.82758620689655,0,4,8,24,1.1980198019802,6.31372549019608,1,1,0.2235316,8,1
11,9,3,1.44285714285714,5.2,0,3,21,11,1.3921568627451,5.94059405940594,1,1,0.674572,21,1
1,7,2,5.19310344827586,4.46206896551724,3,2,1,14,5.33333333333333,4.21782178217822,6,1,1.719819,14,5
30,2,3,3.26896551724138,1.82068965517241,1,0,15,30,2.88235294117647,1.67326732673267,NaN,1,2.119335,15,4
22,5,3,5.19310344827586,1,3,0,1,22,5.33333333333333,1.25490196078431,1,1,0.4726619,1,7
2,6,2,4.45,6.64423076923077,2,4,2,23,4.75247524752475,6.37623762376238,9,1,0.7886037,23,8
7,5,1,5.1929347826087,3.26206896551724,3,1,32,7,4.88235294117647,4.05882352941176,9,1,0.6895473,32,9
33,7,3,3.25271739130435,6.49038461538461,1,4,9,33,3.54455445544554,6.12037037037037,1,1,0.3756198,9,2
24,7,3,5.19565217391304,6.82758620689655,3,4,10,24,5.85294117647059,6.31372549019608,9,1,0.593003,10,9
12,2,1,1.44285714285714,1.82068965517241,0,0,21,12,1.3921568627451,2.13725490196078,1,1,0.1271798,21,1
30,2,1,3.24728260869565,1.82068965517241,1,0,16,30,4.22222222222222,1.67326732673267,5,1,0.7141142,16,4
17,5,3,3.25,5.17857142857143,1,3,31,17,2.90196078431373,4.98039215686275,9,1,0.8340429,31,5
14,5,1,5.19285714285714,4.46206896551724,3,2,6,14,4.83333333333333,4.21782178217822,9,1,0.7134959,6,7
7,5,3,1.51724137931034,3.26206896551724,0,1,35,7,1.40196078431373,4.05882352941176,NaN,1,2.06895,35,4
4,7,3,6.62228260869565,3.25,4,1,25,4,6.24752475247525,3.55882352941176,9,1,0.947729,25,9
28,8,3,6.50961538461539,3.24184782608696,4,1,34,28,6.1078431372549,4.03703703703704,9,1,1.05559,34,8
33,7,1,5.19565217391304,6.49038461538461,3,4,10,33,5.85294117647059,6.12037037037037,9,1,0.7813854,10,9
23,8,3,5.19285714285714,6.64423076923077,3,4,6,23,4.83333333333333,6.37623762376238,9,1,0.2778335,6,7
14,5,3,4.45,4.46206896551724,2,2,2,14,4.75247524752475,4.21782178217822,6,1,0.9312555,2,6
5,9,1,3.25,5.17857142857143,1,3,31,5,2.90196078431373,5.45098039215686,6,1,1.140267,31,5
20,1,1,3.25271739130435,1.45714285714286,1,0,9,20,3.54455445544554,1.97058823529412,1,1,0.1513794,9,2
31,5,2,3.25,5.18620689655172,1,3,31,18,2.90196078431373,5.2037037037037,NaN,1,2.082503,18,5
19,9,2,4.45714285714286,5.2,2,3,19,11,4.66666666666667,5.94059405940594,9,1,0.858354,11,9
16,4,2,3.24728260869565,4.44230769230769,1,2,16,36,4.22222222222222,4.89814814814815,9,1,0.7633247,36,9
5,9,3,6.56551724137931,5.17857142857143,4,3,27,5,6.11881188118812,5.45098039215686,9,1,0.7933722,27,8
3,8,3,3.24728260869565,6.49728260869565,1,4,16,3,4.22222222222222,6.32352941176471,5,1,1.165917,16,4
32,9,2,5.1929347826087,3.24184782608696,3,1,32,28,4.88235294117647,4.03703703703704,8,1,0.9770876,28,8
35,4,2,1.51724137931034,3.23641304347826,0,1,35,29,1.40196078431373,2.23529411764706,6,1,1.078254,29,6
12,2,3,4.45714285714286,1.82068965517241,2,0,19,12,4.66666666666667,2.13725490196078,1,1,0.1006342,19,9
36,9,3,1.58423913043478,4.44230769230769,0,2,13,36,2.00980392156863,4.89814814814815,1,1,0.2115728,13,1
15,4,2,3.26896551724138,6.49728260869565,1,4,15,3,2.88235294117647,6.32352941176471,8,1,0.8216959,3,8
10,9,2,5.19565217391304,1.45714285714286,3,0,10,20,5.85294117647059,1.97058823529412,2,1,0.5702405,20,1
36,9,1,3.26896551724138,4.44230769230769,1,2,15,36,2.88235294117647,4.89814814814815,6,1,0.7997975,15,4
17,5,1,6.58967391304348,5.17857142857143,4,3,26,17,6.41176470588235,4.98039215686275,NaN,1,2.307637,26,8
34,8,2,6.50961538461539,3.26206896551724,4,1,34,7,6.1078431372549,4.05882352941176,6,1,1.281472,7,5
4,7,1,4.45714285714286,3.25,2,1,19,4,4.66666666666667,3.55882352941176,8,1,0.7788247,19,9
11,9,1,6.62228260869565,5.2,4,3,25,11,6.24752475247525,5.94059405940594,NaN,1,2.345044,25,9
21,1,2,1.44285714285714,3.25,0,1,21,4,1.3921568627451,3.55882352941176,6,1,0.9537097,4,7
27,8,2,6.56551724137931,5.17857142857143,4,3,27,17,6.11881188118812,4.98039215686275,6,1,0.9528737,17,5
26,8,2,6.58967391304348,5.17857142857143,4,3,26,5,6.41176470588235,5.45098039215686,9,1,0.9663799,5,9
29,6,1,6.50961538461539,3.23641304347826,4,1,34,29,6.1078431372549,2.23529411764706,9,1,1.515964,34,8
28,8,1,1.51724137931034,3.24184782608696,0,1,35,28,1.40196078431373,4.03703703703704,2,1,1.388305,35,4
29,6,3,5.1929347826087,3.23641304347826,3,1,32,29,4.88235294117647,2.23529411764706,7,1,1.373059,32,9
23,8,1,5.19310344827586,6.64423076923077,3,4,1,23,5.33333333333333,6.37623762376238,8,1,1.387823,1,7
13,1,2,1.58423913043478,1.82068965517241,0,0,13,30,2.00980392156863,1.67326732673267,1,1,0.6293924,30,2
8,1,2,1.73097826086957,6.49038461538461,0,4,8,33,1.1980198019802,6.12037037037037,7,1,1.033631,33,7
6,7,2,5.19285714285714,1,3,0,6,22,4.83333333333333,1.25490196078431,5,1,0.8526883,22,5
18,5,1,6.56551724137931,5.18620689655172,4,3,27,18,6.11881188118812,5.2037037037037,7,1,1.256481,27,8
3,8,1,1.58423913043478,6.49728260869565,0,4,13,3,2.00980392156863,6.32352941176471,NaN,1,0.06056971,13,1
20,1,3,1.73097826086957,1.45714285714286,0,0,8,20,1.1980198019802,1.97058823529412,1,1,0.4264917,8,1
35,4,2,1.51724137931034,3.23641304347826,0,1,35,29,1.40196078431373,2.23529411764706,7,2,0.9828811,29,6
27,8,2,6.56551724137931,6.82758620689655,4,4,27,24,6.11881188118812,6.31372549019608,7,2,1.066016,24,7
11,9,1,5.19565217391304,5.2,3,3,10,11,5.85294117647059,5.94059405940594,9,2,0.2699357,10,9
19,9,2,4.45714285714286,5.17857142857143,2,3,19,5,4.66666666666667,5.45098039215686,9,2,1.655218,5,9
25,9,2,6.62228260869565,5.18620689655172,4,3,25,18,6.24752475247525,5.2037037037037,5,2,1.667872,18,5
5,9,3,1.44285714285714,5.17857142857143,0,3,21,5,1.3921568627451,5.45098039215686,1,2,0.1470886,21,1
14,5,3,4.45,4.46206896551724,2,2,2,14,4.75247524752475,4.21782178217822,6,2,1.139522,2,6
23,8,1,5.19310344827586,6.64423076923077,3,4,1,23,5.33333333333333,6.37623762376238,7,2,0.9827615,1,7
9,2,2,3.25271739130435,3.25,1,1,9,4,3.54455445544554,3.55882352941176,6,2,0.5308553,4,7
3,8,3,3.24728260869565,6.49728260869565,1,4,16,3,4.22222222222222,6.32352941176471,5,2,1.334269,16,4
36,9,1,3.26896551724138,4.44230769230769,1,2,15,36,2.88235294117647,4.89814814814815,6,2,0.9770634,15,4
1,7,2,5.19310344827586,4.46206896551724,3,2,1,14,5.33333333333333,4.21782178217822,NaN,2,2.329575,14,5
34,8,2,6.50961538461539,3.26206896551724,4,1,34,7,6.1078431372549,4.05882352941176,NaN,2,2.189617,7,5
33,7,3,6.56551724137931,6.49038461538461,4,4,27,33,6.11881188118812,6.12037037037037,NaN,2,4.295462,27,8
18,5,1,1.44285714285714,5.18620689655172,0,3,21,18,1.3921568627451,5.2037037037037,1,2,1.339633,21,1
31,5,2,3.25,1.45714285714286,1,0,31,20,2.90196078431373,1.97058823529412,1,2,0.9217211,20,1
12,2,1,3.25271739130435,1.82068965517241,1,0,9,12,3.54455445544554,2.13725490196078,3,2,1.42771,9,2
15,4,2,3.26896551724138,6.49728260869565,1,4,15,3,2.88235294117647,6.32352941176471,8,2,1.524814,3,8
29,6,3,5.1929347826087,3.23641304347826,3,1,32,29,4.88235294117647,2.23529411764706,7,2,1.109106,32,9
13,1,2,1.58423913043478,1.82068965517241,0,0,13,30,2.00980392156863,1.67326732673267,1,2,0.369328,30,2
4,7,1,1.73097826086957,3.25,0,1,8,4,1.1980198019802,3.55882352941176,1,2,0.4603623,8,1
2,6,2,4.45,6.64423076923077,2,4,2,23,4.75247524752475,6.37623762376238,8,2,1.838369,23,8
24,7,1,6.58967391304348,6.82758620689655,4,4,26,24,6.41176470588235,6.31372549019608,8,2,0.6022061,26,8
32,9,2,5.1929347826087,3.24184782608696,3,1,32,28,4.88235294117647,4.03703703703704,9,2,0.3554929,28,8
23,8,3,5.19285714285714,6.64423076923077,3,4,6,23,4.83333333333333,6.37623762376238,9,2,0.4440013,6,7
24,7,3,3.25,6.82758620689655,1,4,31,24,2.90196078431373,6.31372549019608,NaN,2,2.111172,31,5
30,2,1,3.24728260869565,1.82068965517241,1,0,16,30,4.22222222222222,1.67326732673267,5,2,0.3472636,16,4
7,5,3,1.51724137931034,3.26206896551724,0,1,35,7,1.40196078431373,4.05882352941176,4,2,1.667573,35,4
36,9,3,1.58423913043478,4.44230769230769,0,2,13,36,2.00980392156863,4.89814814814815,2,2,0.8630721,13,1
18,5,3,4.45714285714286,5.18620689655172,2,3,19,18,4.66666666666667,5.2037037037037,5,2,0.7859489,19,9
28,8,3,6.50961538461539,3.24184782608696,4,1,34,28,6.1078431372549,4.03703703703704,9,2,1.139141,34,8
8,1,2,1.73097826086957,5.2,0,3,8,11,1.1980198019802,5.94059405940594,9,2,0.7148371,11,9
17,5,3,6.62228260869565,5.17857142857143,4,3,25,17,6.24752475247525,4.98039215686275,6,2,0.9408443,25,9
12,2,3,1.73097826086957,1.82068965517241,0,0,8,12,1.1980198019802,2.13725490196078,5,2,1.385247,8,1
21,1,2,1.44285714285714,5.17857142857143,0,3,21,17,1.3921568627451,4.98039215686275,NaN,2,3.358921,17,5
33,7,1,3.25,6.49038461538461,1,4,31,33,2.90196078431373,6.12037037037037,5,2,1.476528,31,5
6,7,2,5.19285714285714,1,3,0,6,22,4.83333333333333,1.25490196078431,4,2,0.6620977,22,5
20,1,3,6.58967391304348,1.45714285714286,4,0,26,20,6.41176470588235,1.97058823529412,1,2,0.1840002,26,8
5,9,1,6.62228260869565,5.17857142857143,4,3,25,5,6.24752475247525,5.45098039215686,7,2,0.823031,25,9
3,8,1,1.58423913043478,6.49728260869565,0,4,13,3,2.00980392156863,6.32352941176471,2,2,0.8200601,13,1
7,5,1,5.1929347826087,3.26206896551724,3,1,32,7,4.88235294117647,4.05882352941176,9,2,0.3634526,32,9
26,8,2,6.58967391304348,6.49038461538461,4,4,26,33,6.41176470588235,6.12037037037037,8,2,1.411726,33,7
17,5,1,4.45714285714286,5.17857142857143,2,3,19,17,4.66666666666667,4.98039215686275,9,2,0.9505814,19,9
22,5,1,4.45,1,2,0,2,22,4.75247524752475,1.25490196078431,7,2,0.8045909,2,6
28,8,1,1.51724137931034,3.24184782608696,0,1,35,28,1.40196078431373,4.03703703703704,2,2,0.4802065,35,4
10,9,2,5.19565217391304,1.82068965517241,3,0,10,12,5.85294117647059,2.13725490196078,1,2,1.132997,12,2
22,5,3,5.19310344827586,1,3,0,1,22,5.33333333333333,1.25490196078431,4,2,1.462775,1,7
16,4,2,3.24728260869565,4.44230769230769,1,2,16,36,4.22222222222222,4.89814814814815,9,2,1.091811,36,9
20,1,1,6.56551724137931,1.45714285714286,4,0,27,20,6.11881188118812,1.97058823529412,7,2,0.5298565,27,8
29,6,1,6.50961538461539,3.23641304347826,4,1,34,29,6.1078431372549,2.23529411764706,7,2,0.8575555,34,8
4,7,3,5.19565217391304,3.25,3,1,10,4,5.85294117647059,3.55882352941176,8,2,1.224509,10,9
