Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
26,9,3,3.23641304347826,6.58967391304348,1,4,29,26,2.23529411764706,6.41176470588235,7,2,1.253076,29,2
24,9,2,6.82758620689655,1.58423913043478,4,0,24,13,6.31372549019608,2.00980392156863,3,2,2.487067,13,1
16,2,1,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,6,2,2.063178,5,8
21,1,3,1,1.44285714285714,0,0,22,21,1.25490196078431,1.3921568627451,1,2,1.104707,22,1
35,1,3,1.45714285714286,1.51724137931034,0,0,20,35,1.97058823529412,1.40196078431373,1,2,0.4561734,20,1
36,4,2,4.44230769230769,3.26896551724138,2,1,36,15,4.89814814814815,2.88235294117647,2,2,3.302792,15,2
7,2,2,3.26206896551724,6.56551724137931,1,4,7,27,4.05882352941176,6.11881188118812,7,2,0.8412029,27,9
22,1,2,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,7,2,1.064074,6,4
28,3,2,3.24184782608696,6.58967391304348,1,4,28,26,4.03703703703704,6.41176470588235,7,2,0.5517837,26,9
34,9,3,5.17857142857143,6.50961538461539,3,4,17,34,4.98039215686275,6.1078431372549,8,2,0.8435948,17,7
8,1,1,6.49728260869565,1.73097826086957,4,0,3,8,6.32352941176471,1.1980198019802,5,2,1.565247,3,8
23,9,2,6.64423076923077,1.51724137931034,4,0,23,35,6.37623762376238,1.40196078431373,1,2,0.9323498,35,1
12,1,2,1.82068965517241,3.25271739130435,0,1,12,9,2.13725490196078,3.54455445544554,2,2,1.028512,9,1
13,1,1,3.23641304347826,1.58423913043478,1,0,29,13,2.23529411764706,2.00980392156863,3,2,1.538189,29,2
3,8,2,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,3,2,2.552219,16,2
33,8,2,6.49038461538461,5.19310344827586,4,3,33,1,6.12037037037037,5.33333333333333,7,2,1.005374,1,7
15,2,3,1.82068965517241,3.26896551724138,0,1,30,15,1.67326732673267,2.88235294117647,1,2,0.3982306,30,1
31,2,1,5.17857142857143,3.25,3,1,17,31,4.98039215686275,2.90196078431373,4,2,1.492195,17,7
25,9,1,4.46206896551724,6.62228260869565,2,4,14,25,4.21782178217822,6.24752475247525,3,2,1.223308,14,2
15,2,1,6.49038461538461,3.26896551724138,4,1,33,15,6.12037037037037,2.88235294117647,8,2,0.4705216,33,8
27,9,1,1.82068965517241,6.56551724137931,0,4,12,27,2.13725490196078,6.11881188118812,3,2,1.085766,12,1
2,8,3,6.49038461538461,4.45,4,2,33,2,6.12037037037037,4.75247524752475,8,2,0.939461,33,8
10,9,3,6.82758620689655,5.19565217391304,4,3,24,10,6.31372549019608,5.85294117647059,9,2,0.2634719,24,9
5,8,2,5.17857142857143,5.1929347826087,3,3,5,32,5.45098039215686,4.88235294117647,7,2,1.274535,32,2
6,4,3,6.64423076923077,5.19285714285714,4,3,23,6,6.37623762376238,4.83333333333333,8,2,0.5392892,23,9
9,1,3,3.26206896551724,3.25271739130435,1,1,7,9,4.05882352941176,3.54455445544554,3,2,1.652081,7,2
19,2,3,1.82068965517241,4.45714285714286,0,2,12,19,2.13725490196078,4.66666666666667,3,2,1.543597,12,1
34,9,1,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,4,2,0.9623791,18,2
2,8,1,4.44230769230769,4.45,2,2,36,2,4.89814814814815,4.75247524752475,3,2,0.8886041,36,4
8,1,3,5.17857142857143,1.73097826086957,3,0,5,8,5.45098039215686,1.1980198019802,2,2,1.596022,5,8
29,2,2,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,8,2,1.047231,10,9
17,7,2,5.17857142857143,6.62228260869565,3,4,17,25,4.98039215686275,6.24752475247525,8,2,1.162425,25,9
19,2,1,3.26206896551724,4.45714285714286,1,2,7,19,4.05882352941176,4.66666666666667,3,2,1.558609,7,2
31,2,3,4.46206896551724,3.25,2,1,14,31,4.21782178217822,2.90196078431373,2,2,0.9397444,14,2
20,1,2,1.45714285714286,1.44285714285714,0,0,20,21,1.97058823529412,1.3921568627451,1,2,0.1634117,21,1
27,9,3,5.2,6.56551724137931,3,4,11,27,5.94059405940594,6.11881188118812,8,2,0.821151,11,9
30,1,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,4,2,1.022564,2,8
11,9,2,5.2,4.45714285714286,3,2,11,19,5.94059405940594,4.66666666666667,3,2,1.496033,19,2
4,3,2,3.25,1.73097826086957,1,0,4,8,3.55882352941176,1.1980198019802,1,2,0.07940071,8,1
1,7,1,1.82068965517241,5.19310344827586,0,3,30,1,1.67326732673267,5.33333333333333,1,2,0.04455126,30,1
21,1,1,6.64423076923077,1.44285714285714,4,0,23,21,6.37623762376238,1.3921568627451,4,2,1.879543,23,9
6,4,1,1.45714285714286,5.19285714285714,0,3,20,6,1.97058823529412,4.83333333333333,1,2,4.383243,20,1
13,1,3,3.24184782608696,1.58423913043478,1,0,28,13,4.03703703703704,2.00980392156863,3,2,1.280966,28,3
25,9,3,5.18620689655172,6.62228260869565,3,4,18,25,5.2037037037037,6.24752475247525,7,2,0.9304084,18,2
10,9,1,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,4,2,0.9595936,28,3
32,2,1,3.25,5.1929347826087,1,3,4,32,3.55882352941176,4.88235294117647,2,2,1.347625,4,3
14,2,2,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,6,2,0.6264753,34,9
1,7,3,4.44230769230769,5.19310344827586,2,3,36,1,4.89814814814815,5.33333333333333,5,2,1.850738,36,4
32,2,3,6.49728260869565,5.1929347826087,4,3,3,32,6.32352941176471,4.88235294117647,7,2,1.337792,3,8
16,2,3,3.25,3.24728260869565,1,1,4,16,3.55882352941176,4.22222222222222,1,2,0.2650037,4,3
9,1,1,5.2,3.25271739130435,3,1,11,9,5.94059405940594,3.54455445544554,7,2,0.3333181,11,9
26,9,1,6.82758620689655,6.58967391304348,4,4,24,26,6.31372549019608,6.41176470588235,8,2,0.09504446,24,9
18,2,2,5.18620689655172,3.25,3,1,18,31,5.2037037037037,2.90196078431373,1,2,0.7222017,31,2
35,1,1,1,1.51724137931034,0,0,22,35,1.25490196078431,1.40196078431373,1,2,2.163642,22,1
25,9,1,1.45714285714286,6.62228260869565,0,4,20,25,1.97058823529412,6.24752475247525,1,1,1.140095,20,1
3,8,2,6.49728260869565,6.56551724137931,4,4,3,27,6.32352941176471,6.11881188118812,8,1,1.05978,27,9
28,3,2,3.24184782608696,5.19310344827586,1,3,28,1,4.03703703703704,5.33333333333333,6,1,2.461158,1,7
12,1,2,1.82068965517241,5.1929347826087,0,3,12,32,2.13725490196078,4.88235294117647,4,1,1.447892,32,2
13,1,3,5.17857142857143,1.58423913043478,3,0,17,13,4.98039215686275,2.00980392156863,6,1,1.056805,17,7
32,2,3,3.26206896551724,5.1929347826087,1,3,7,32,4.05882352941176,4.88235294117647,4,1,0.9516485,7,2
19,2,1,6.49728260869565,4.45714285714286,4,2,3,19,6.32352941176471,4.66666666666667,7,1,0.7980929,3,8
18,2,2,5.18620689655172,5.19565217391304,3,3,18,10,5.2037037037037,5.85294117647059,9,1,0.4417881,10,9
24,9,2,6.82758620689655,4.45,4,2,24,2,6.31372549019608,4.75247524752475,7,1,2.02006,2,8
27,9,1,5.17857142857143,6.56551724137931,3,4,5,27,5.45098039215686,6.11881188118812,7,1,0.4066285,5,8
36,4,2,4.44230769230769,1.51724137931034,2,0,36,35,4.89814814814815,1.40196078431373,1,1,1.614782,35,1
33,8,2,6.49038461538461,5.19285714285714,4,3,33,6,6.12037037037037,4.83333333333333,6,1,1.642074,6,4
14,2,2,4.46206896551724,1.58423913043478,2,0,14,13,4.21782178217822,2.00980392156863,1,1,0.7997874,13,1
26,9,3,5.18620689655172,6.58967391304348,3,4,18,26,5.2037037037037,6.41176470588235,7,1,1.939018,18,2
16,2,1,1.82068965517241,3.24728260869565,0,1,12,16,2.13725490196078,4.22222222222222,1,1,0.9870846,12,1
34,9,3,1,6.50961538461539,0,4,22,34,1.25490196078431,6.1078431372549,2,1,2.299083,22,1
6,4,1,1.82068965517241,5.19285714285714,0,3,30,6,1.67326732673267,4.83333333333333,1,1,0.523201,30,1
15,2,1,3.24184782608696,3.26896551724138,1,1,28,15,4.03703703703704,2.88235294117647,3,1,0.8781839,28,3
1,7,1,6.82758620689655,5.19310344827586,4,3,24,1,6.31372549019608,5.33333333333333,7,1,1.082608,24,9
22,1,2,1,6.62228260869565,0,4,22,25,1.25490196078431,6.24752475247525,4,1,1.339421,25,9
26,9,1,4.46206896551724,6.58967391304348,2,4,14,26,4.21782178217822,6.41176470588235,4,1,2.192107,14,2
5,8,2,5.17857142857143,3.25271739130435,3,1,5,9,5.45098039215686,3.54455445544554,2,1,1.823533,9,1
25,9,3,6.64423076923077,6.62228260869565,4,4,23,25,6.37623762376238,6.24752475247525,9,1,1.039299,23,9
31,2,3,1.45714285714286,3.25,0,1,20,31,1.97058823529412,2.90196078431373,1,1,0.5678631,20,1
17,7,2,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,8,1,1.100947,26,9
11,9,2,5.2,1.73097826086957,3,0,11,8,5.94059405940594,1.1980198019802,1,1,1.910601,8,1
35,1,1,6.49038461538461,1.51724137931034,4,0,33,35,6.12037037037037,1.40196078431373,7,1,0.9141775,33,8
4,3,2,3.25,4.45714285714286,1,2,4,19,3.55882352941176,4.66666666666667,3,1,1.082642,19,2
30,1,2,1.82068965517241,1.44285714285714,0,0,30,21,1.67326732673267,1.3921568627451,1,1,0.3076386,21,1
13,1,1,5.18620689655172,1.58423913043478,3,0,18,13,5.2037037037037,2.00980392156863,4,1,1.554777,18,2
16,2,3,5.2,3.24728260869565,3,1,11,16,5.94059405940594,4.22222222222222,2,1,1.316324,11,9
2,8,1,3.23641304347826,4.45,1,2,29,2,2.23529411764706,4.75247524752475,2,1,1.765658,29,2
9,1,3,6.49728260869565,3.25271739130435,4,1,3,9,6.32352941176471,3.54455445544554,6,1,1.124906,3,8
21,1,1,4.44230769230769,1.44285714285714,2,0,36,21,4.89814814814815,1.3921568627451,4,1,2.153675,36,4
8,1,1,3.26206896551724,1.73097826086957,1,0,7,8,4.05882352941176,1.1980198019802,2,1,0.3705102,7,2
2,8,3,3.24184782608696,4.45,1,2,28,2,4.03703703703704,4.75247524752475,6,1,0.5472678,28,3
19,2,3,5.17857142857143,4.45714285714286,3,2,5,19,5.45098039215686,4.66666666666667,6,1,0.7179227,5,8
23,9,2,6.64423076923077,3.25,4,1,23,31,6.37623762376238,2.90196078431373,2,1,1.345546,31,2
35,1,3,1.82068965517241,1.51724137931034,0,0,30,35,1.67326732673267,1.40196078431373,1,1,0.3400201,30,1
29,2,2,3.23641304347826,3.26896551724138,1,1,29,15,2.23529411764706,2.88235294117647,1,1,1.513236,15,2
20,1,2,1.45714285714286,6.50961538461539,0,4,20,34,1.97058823529412,6.1078431372549,7,1,0.2058402,34,9
21,1,3,6.49038461538461,1.44285714285714,4,0,33,21,6.12037037037037,1.3921568627451,1,1,1.940104,33,8
15,2,3,6.82758620689655,3.26896551724138,4,1,24,15,6.31372549019608,2.88235294117647,3,1,0.4737126,24,9
6,4,3,4.44230769230769,5.19285714285714,2,3,36,6,4.89814814814815,4.83333333333333,7,1,0.1608651,36,4
10,9,1,5.17857142857143,5.19565217391304,3,3,17,10,4.98039215686275,5.85294117647059,8,1,0.2708884,17,7
31,2,1,1,3.25,0,1,22,31,1.25490196078431,2.90196078431373,1,1,0.07919287,22,1
8,1,3,1.82068965517241,1.73097826086957,0,0,12,8,2.13725490196078,1.1980198019802,1,1,0.0633157,12,1
10,9,3,4.46206896551724,5.19565217391304,2,3,14,10,4.21782178217822,5.85294117647059,4,1,0.8863514,14,2
32,2,1,5.2,5.1929347826087,3,3,11,32,5.94059405940594,4.88235294117647,8,1,0.4368188,11,9
7,2,2,3.26206896551724,3.24728260869565,1,1,7,16,4.05882352941176,4.22222222222222,2,1,0.4576551,16,2
1,7,3,3.23641304347826,5.19310344827586,1,3,29,1,2.23529411764706,5.33333333333333,7,1,0.06448035,29,2
34,9,1,6.64423076923077,6.50961538461539,4,4,23,34,6.37623762376238,6.1078431372549,9,1,0.1022021,23,9
27,9,3,3.25,6.56551724137931,1,4,4,27,3.55882352941176,6.11881188118812,4,1,0.5891485,4,3
9,1,1,3.25,3.25271739130435,1,1,4,9,3.55882352941176,3.54455445544554,3,1,0.6038652,4,3
24,9,2,6.82758620689655,3.25271739130435,4,1,24,9,6.31372549019608,3.54455445544554,3,2,0.5890377,9,1
26,9,3,6.64423076923077,6.58967391304348,4,4,23,26,6.37623762376238,6.41176470588235,7,2,1.403534,23,9
13,1,1,5.18620689655172,1.58423913043478,3,0,18,13,5.2037037037037,2.00980392156863,3,2,1.210017,18,2
17,7,2,5.17857142857143,4.45,3,2,17,2,4.98039215686275,4.75247524752475,7,2,0.5611222,2,8
1,7,3,4.46206896551724,5.19310344827586,2,3,14,1,4.21782178217822,5.33333333333333,3,2,1.374447,14,2
4,3,2,3.25,5.19565217391304,1,3,4,10,3.55882352941176,5.85294117647059,9,2,0.2496697,10,9
31,2,3,4.44230769230769,3.25,2,1,36,31,4.89814814814815,2.90196078431373,2,2,1.328088,36,4
5,8,2,5.17857142857143,1.51724137931034,3,0,5,35,5.45098039215686,1.40196078431373,1,2,1.261822,35,1
19,2,1,6.64423076923077,4.45714285714286,4,2,23,19,6.37623762376238,4.66666666666667,7,2,0.1974524,23,9
15,2,3,1.82068965517241,3.26896551724138,0,1,30,15,1.67326732673267,2.88235294117647,1,2,3.106041,30,1
16,2,1,1.82068965517241,3.24728260869565,0,1,12,16,2.13725490196078,4.22222222222222,1,2,0.5221089,12,1
