Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
21,1,3,5.2,1.44285714285714,3,0,11,21,5.94059405940594,1.3921568627451,4,2,4.858046,11,6
20,1,2,1.45714285714286,3.26896551724138,0,1,20,15,1.97058823529412,2.88235294117647,5,2,8.012643,15,2
10,8,1,1,5.19565217391304,0,3,22,10,1.25490196078431,5.85294117647059,1,2,5.459248,22,1
13,3,1,1.45714285714286,1.58423913043478,0,0,20,13,1.97058823529412,2.00980392156863,1,2,1.333105,20,1
36,5,2,4.44230769230769,6.56551724137931,2,4,36,27,4.89814814814815,6.11881188118812,8,2,3.565601,27,9
35,2,1,4.46206896551724,1.51724137931034,2,0,14,35,4.21782178217822,1.40196078431373,4,2,3.215542,14,8
7,3,2,3.26206896551724,1.44285714285714,1,0,7,21,4.05882352941176,1.3921568627451,1,2,3.849265,21,1
1,7,3,4.46206896551724,5.19310344827586,2,3,14,1,4.21782178217822,5.33333333333333,6,2,3.845937,14,8
19,3,3,6.49728260869565,4.45714285714286,4,2,3,19,6.32352941176471,4.66666666666667,7,2,2.04419,3,9
4,4,2,3.25,6.62228260869565,1,4,4,25,3.55882352941176,6.24752475247525,8,2,1.564276,25,9
16,6,3,3.23641304347826,3.24728260869565,1,1,29,16,2.23529411764706,4.22222222222222,5,2,2.585229,29,4
15,2,3,1,3.26896551724138,0,1,22,15,1.25490196078431,2.88235294117647,2,2,3.810688,22,1
10,8,3,1.45714285714286,5.19565217391304,0,3,20,10,1.97058823529412,5.85294117647059,2,2,5.961613,20,1
8,1,3,1.82068965517241,1.73097826086957,0,0,12,8,2.13725490196078,1.1980198019802,2,2,4.706049,12,2
13,3,3,6.64423076923077,1.58423913043478,4,0,23,13,6.37623762376238,2.00980392156863,6,2,2.877272,23,9
14,8,2,4.46206896551724,6.58967391304348,2,4,14,26,4.21782178217822,6.41176470588235,8,2,1.12042,26,8
35,2,3,5.18620689655172,1.51724137931034,3,0,18,35,5.2037037037037,1.40196078431373,4,2,1.954194,18,4
31,2,3,3.26206896551724,3.25,1,1,7,31,4.05882352941176,2.90196078431373,3,2,3.633783,7,3
3,9,2,6.49728260869565,6.50961538461539,4,4,3,34,6.32352941176471,6.1078431372549,9,2,1.550247,34,9
33,9,2,6.49038461538461,5.19285714285714,4,3,33,6,6.12037037037037,4.83333333333333,9,2,2.582352,6,7
26,8,3,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,7,2,3.406718,17,5
23,9,2,6.64423076923077,5.19565217391304,4,3,23,10,6.37623762376238,5.85294117647059,8,2,2.436356,10,8
17,5,2,5.17857142857143,1.51724137931034,3,0,17,35,4.98039215686275,1.40196078431373,2,2,2.446347,35,2
18,4,2,5.18620689655172,5.19310344827586,3,3,18,1,5.2037037037037,5.33333333333333,5,2,1.915647,1,7
16,6,1,6.82758620689655,3.24728260869565,4,1,24,16,6.31372549019608,4.22222222222222,8,2,4.581179,24,9
32,9,1,3.23641304347826,5.1929347826087,1,3,29,32,2.23529411764706,4.88235294117647,5,2,1.668635,29,4
1,7,1,5.17857142857143,5.19310344827586,3,3,17,1,4.98039215686275,5.33333333333333,6,2,1.616829,17,5
6,7,3,4.44230769230769,5.19285714285714,2,3,36,6,4.89814814814815,4.83333333333333,7,2,1.617705,36,5
8,1,1,3.26206896551724,1.73097826086957,1,0,7,8,4.05882352941176,1.1980198019802,3,2,6.21492,7,3
2,8,3,6.49038461538461,4.45,4,2,33,2,6.12037037037037,4.75247524752475,7,2,0.9943952,33,9
19,3,1,3.25,4.45714285714286,1,2,4,19,3.55882352941176,4.66666666666667,4,2,1.482592,4,4
29,4,2,3.23641304347826,3.25271739130435,1,1,29,9,2.23529411764706,3.54455445544554,2,2,5.79864,9,2
28,6,2,3.24184782608696,3.24728260869565,1,1,28,16,4.03703703703704,4.22222222222222,3,2,2.126022,16,6
15,2,1,6.64423076923077,3.26896551724138,4,1,23,15,6.37623762376238,2.88235294117647,8,2,1.652152,23,9
9,2,3,6.82758620689655,3.25271739130435,4,1,24,9,6.31372549019608,3.54455445544554,5,2,2.803798,24,9
30,1,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,4,2,7.151227,2,8
21,1,1,1.82068965517241,1.44285714285714,0,0,12,21,2.13725490196078,1.3921568627451,4,2,2.458407,12,2
25,9,1,6.49728260869565,6.62228260869565,4,4,3,25,6.32352941176471,6.24752475247525,9,2,1.383056,3,9
34,9,1,5.17857142857143,6.50961538461539,3,4,5,34,5.45098039215686,6.1078431372549,7,2,9.297273,5,5
27,9,1,6.49038461538461,6.56551724137931,4,4,33,27,6.12037037037037,6.11881188118812,9,2,1.087314,33,9
22,1,2,1,1.58423913043478,0,0,22,13,1.25490196078431,2.00980392156863,3,2,1.619042,13,3
27,9,3,1.82068965517241,6.56551724137931,0,4,30,27,1.67326732673267,6.11881188118812,4,2,2.048102,30,1
25,9,3,5.17857142857143,6.62228260869565,3,4,5,25,5.45098039215686,6.24752475247525,8,2,0.7043923,5,5
12,2,2,1.82068965517241,3.25,0,1,12,31,2.13725490196078,2.90196078431373,4,2,2.950168,31,2
