Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
5,7,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,2,2,1.779943,13,3
22,1,2,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,7,2,0.8888431,6,5
34,7,3,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,7,2,2.567332,18,6
10,8,3,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,8,2,0.9415789,28,6
16,2,3,1.45714285714286,3.24728260869565,0,1,20,16,1.97058823529412,4.22222222222222,2,2,1.82711,20,1
9,2,1,5.18620689655172,3.25271739130435,3,1,18,9,5.2037037037037,3.54455445544554,6,2,1.488729,18,6
32,3,1,1.82068965517241,5.1929347826087,0,3,30,32,1.67326732673267,4.88235294117647,2,2,0.7325233,30,1
6,5,3,6.64423076923077,5.19285714285714,4,3,23,6,6.37623762376238,4.83333333333333,8,2,0.7859251,23,8
11,7,2,5.2,4.45714285714286,3,2,11,19,5.94059405940594,4.66666666666667,5,2,1.730258,19,2
27,8,3,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,9,2,0.2048624,24,8
12,1,2,1.82068965517241,5.19310344827586,0,3,12,1,2.13725490196078,5.33333333333333,7,2,0.7131529,1,5
35,1,3,3.25,1.51724137931034,1,0,4,35,3.55882352941176,1.40196078431373,4,2,0.7827624,4,2
33,2,2,6.49038461538461,5.1929347826087,4,3,33,32,6.12037037037037,4.88235294117647,7,2,0.69789,32,3
2,3,1,5.17857142857143,4.45,3,2,17,2,4.98039215686275,4.75247524752475,5,2,0.832455,17,3
26,7,3,3.23641304347826,6.58967391304348,1,4,29,26,2.23529411764706,6.41176470588235,5,2,2.46734,29,3
27,8,1,3.24184782608696,6.56551724137931,1,4,28,27,4.03703703703704,6.11881188118812,7,2,3.06162,28,6
34,7,1,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,3,2,1.058618,14,2
1,5,1,5.2,5.19310344827586,3,3,11,1,5.94059405940594,5.33333333333333,8,2,0.4050012,11,7
21,1,1,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,9,2,0.4118683,3,7
17,3,2,5.17857142857143,6.50961538461539,3,4,17,34,4.98039215686275,6.1078431372549,9,2,0.7603342,34,7
18,6,2,5.18620689655172,4.45,3,2,18,2,5.2037037037037,4.75247524752475,5,2,1.317493,2,3
36,8,2,4.44230769230769,6.62228260869565,2,4,36,25,4.89814814814815,6.24752475247525,8,2,0.4705524,25,8
20,1,2,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,5,2,1.104349,8,1
16,2,1,1,3.24728260869565,0,1,22,16,1.25490196078431,4.22222222222222,3,2,1.103296,22,1
2,3,3,4.46206896551724,4.45,2,2,14,2,4.21782178217822,4.75247524752475,4,2,1.370663,14,2
31,1,3,5.2,3.25,3,1,11,31,5.94059405940594,2.90196078431373,8,2,1.157128,11,7
6,5,1,1.45714285714286,5.19285714285714,0,3,20,6,1.97058823529412,4.83333333333333,1,2,0.7708608,20,1
29,3,2,3.23641304347826,6.56551724137931,1,4,29,27,2.23529411764706,6.11881188118812,8,2,0.6467801,27,8
15,2,1,4.44230769230769,3.26896551724138,2,1,36,15,4.89814814814815,2.88235294117647,7,2,3.404846,36,8
28,6,2,3.24184782608696,6.58967391304348,1,4,28,26,4.03703703703704,6.41176470588235,8,2,0.3239297,26,7
19,2,1,3.26206896551724,4.45714285714286,1,2,7,19,4.05882352941176,4.66666666666667,3,2,0.6155306,7,4
31,1,1,1.82068965517241,3.25,0,1,12,31,2.13725490196078,2.90196078431373,2,2,1.312095,12,1
13,3,1,3.25,1.58423913043478,1,0,4,13,3.55882352941176,2.00980392156863,3,2,1.30953,4,2
8,1,3,1,1.73097826086957,0,0,22,8,1.25490196078431,1.1980198019802,2,2,0.9415609,22,1
10,8,1,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,5,2,0.8530169,29,3
25,8,1,6.49038461538461,6.62228260869565,4,4,33,25,6.12037037037037,6.24752475247525,5,2,1.495014,33,2
