Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
31,2,3,1.82068965517241,3.25,0,1,30,31,1.67326732673267,2.90196078431373,1,2,0.2793814,30,1
11,9,2,5.2,6.62228260869565,3,4,11,25,5.94059405940594,6.24752475247525,4,2,1.013835,25,9
20,1,2,1.45714285714286,6.58967391304348,0,4,20,26,1.97058823529412,6.41176470588235,3,2,2.876741,26,9
5,7,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,1,2,1.245141,13,1
7,4,2,3.26206896551724,1.51724137931034,1,0,7,35,4.05882352941176,1.40196078431373,1,2,0.7663442,35,1
34,9,1,6.82758620689655,6.50961538461539,4,4,24,34,6.31372549019608,6.1078431372549,9,2,0.9930666,24,9
32,5,3,3.24184782608696,5.1929347826087,1,3,28,32,4.03703703703704,4.88235294117647,6,2,0.9195011,28,2
1,9,1,5.18620689655172,5.19310344827586,3,3,18,1,5.2037037037037,5.33333333333333,4,2,0.2571412,18,5
15,2,3,3.25,3.26896551724138,1,1,4,15,3.55882352941176,2.88235294117647,1,2,0.425704,4,4
21,1,1,1.45714285714286,1.44285714285714,0,0,20,21,1.97058823529412,1.3921568627451,1,2,0.04919662,20,1
35,1,1,1.82068965517241,1.51724137931034,0,0,12,35,2.13725490196078,1.40196078431373,1,2,0.1522122,12,2
19,4,3,6.82758620689655,4.45714285714286,4,2,24,19,6.31372549019608,4.66666666666667,5,2,1.180067,24,9
9,2,1,1.82068965517241,3.25271739130435,0,1,30,9,1.67326732673267,3.54455445544554,1,2,3.338222,30,1
29,4,2,3.23641304347826,4.45714285714286,1,2,29,19,2.23529411764706,4.66666666666667,4,2,0.0722006,19,4
23,9,2,6.64423076923077,1.73097826086957,4,0,23,8,6.37623762376238,1.1980198019802,2,2,0.3020987,8,1
32,5,1,3.23641304347826,5.1929347826087,1,3,29,32,2.23529411764706,4.88235294117647,3,2,0.7042578,29,4
2,4,3,3.26206896551724,4.45,1,2,7,2,4.05882352941176,4.75247524752475,4,2,0.8064284,7,4
9,2,3,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,5,2,1.201573,36,6
16,2,1,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,9,2,0.6284907,3,9
14,3,2,4.46206896551724,5.19310344827586,2,3,14,1,4.21782178217822,5.33333333333333,6,2,0.1985588,1,9
17,2,2,5.17857142857143,6.56551724137931,3,4,17,27,4.98039215686275,6.11881188118812,9,2,0.09388363,27,9
22,1,2,1,1.44285714285714,0,0,22,21,1.25490196078431,1.3921568627451,1,2,2.190981,21,1
25,9,3,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,5,2,0.2859899,12,2
36,6,2,4.44230769230769,3.25,2,1,36,31,4.89814814814815,2.90196078431373,3,2,0.3251835,31,2
34,9,3,3.23641304347826,6.50961538461539,1,4,29,34,2.23529411764706,6.1078431372549,5,2,0.5113052,29,4
26,9,1,6.64423076923077,6.58967391304348,4,4,23,26,6.37623762376238,6.41176470588235,9,2,0.1082077,23,9
16,2,3,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,5,2,0.01233655,5,7
13,1,1,3.25,1.58423913043478,1,0,4,13,3.55882352941176,2.00980392156863,4,2,0.4066097,4,4
25,9,1,3.26206896551724,6.62228260869565,1,4,7,25,4.05882352941176,6.24752475247525,5,2,0.2110509,7,4
18,5,2,5.18620689655172,5.19565217391304,3,3,18,10,5.2037037037037,5.85294117647059,9,2,0.01930283,10,9
30,1,2,1.82068965517241,5.19285714285714,0,3,30,6,1.67326732673267,4.83333333333333,6,2,0.04852254,6,5
24,9,2,6.82758620689655,5.1929347826087,4,3,24,32,6.31372549019608,4.88235294117647,6,2,0.3978907,32,5
8,1,3,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,1,2,0.1908572,20,1
27,9,1,4.46206896551724,6.56551724137931,2,4,14,27,4.21782178217822,6.11881188118812,5,2,0.1894434,14,3
28,2,2,3.24184782608696,6.50961538461539,1,4,28,34,4.03703703703704,6.1078431372549,9,2,0.1303589,34,9
