Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
32,7,1,4.46206896551724,5.1929347826087,2,3,14,32,4.21782178217822,4.88235294117647,8,2,2.491108,14,6
3,9,2,6.49728260869565,3.25,4,1,3,31,6.32352941176471,2.90196078431373,8,2,3.467748,31,8
35,6,1,6.82758620689655,1.51724137931034,4,0,24,35,6.31372549019608,1.40196078431373,7,2,2.027679,24,9
20,4,2,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,5,2,1.840927,1,5
33,9,2,6.49038461538461,6.50961538461539,4,4,33,34,6.12037037037037,6.1078431372549,9,2,1.171164,34,9
1,5,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,8,2,0.4130806,23,9
34,9,1,1.82068965517241,6.50961538461539,0,4,30,34,1.67326732673267,6.1078431372549,6,2,1.911165,30,6
10,6,1,1.45714285714286,5.19565217391304,0,3,20,10,1.97058823529412,5.85294117647059,3,2,2.726027,20,4
5,6,2,5.17857142857143,3.25271739130435,3,1,5,9,5.45098039215686,3.54455445544554,3,2,2.052039,9,4
6,9,1,4.44230769230769,5.19285714285714,2,3,36,6,4.89814814814815,4.83333333333333,5,2,1.907714,36,6
13,2,1,1.82068965517241,1.58423913043478,0,0,12,13,2.13725490196078,2.00980392156863,3,2,1.4151,12,3
21,6,3,4.46206896551724,1.44285714285714,2,0,14,21,4.21782178217822,1.3921568627451,5,2,1.83636,14,6
11,6,2,5.2,3.24728260869565,3,1,11,16,5.94059405940594,4.22222222222222,5,2,2.330917,16,5
30,6,2,1.82068965517241,5.19285714285714,0,3,30,6,1.67326732673267,4.83333333333333,9,2,1.179872,6,9
28,6,2,3.24184782608696,1.51724137931034,1,0,28,35,4.03703703703704,1.40196078431373,6,2,2.329457,35,6
14,6,2,4.46206896551724,4.45714285714286,2,2,14,19,4.21782178217822,4.66666666666667,5,2,1.103274,19,5
6,9,3,6.49038461538461,5.19285714285714,4,3,33,6,6.12037037037037,4.83333333333333,9,2,0.7187202,33,9
16,5,1,3.26206896551724,3.24728260869565,1,1,7,16,4.05882352941176,4.22222222222222,8,2,1.169639,7,9
1,5,3,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,6,2,4.139012,22,7
16,5,3,1.82068965517241,3.24728260869565,0,1,12,16,2.13725490196078,4.22222222222222,4,2,1.009532,12,3
13,2,3,5.2,1.58423913043478,3,0,11,13,5.94059405940594,2.00980392156863,5,2,3.209906,11,6
35,6,3,3.23641304347826,1.51724137931034,1,0,29,35,2.23529411764706,1.40196078431373,5,2,1.453518,29,7
