Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
5,4,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,3,2,0.8347482,13,3
22,2,2,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,7,2,1.201656,6,9
34,9,3,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,8,2,1.560577,18,5
10,9,3,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,9,2,0.2733199,28,4
16,4,3,1.45714285714286,3.24728260869565,0,1,20,16,1.97058823529412,4.22222222222222,5,2,1.071713,20,2
9,3,1,5.18620689655172,3.25271739130435,3,1,18,9,5.2037037037037,3.54455445544554,3,2,0.5027854,18,5
32,9,1,1.82068965517241,5.1929347826087,0,3,30,32,1.67326732673267,4.88235294117647,3,2,0.8935626,30,1
6,9,3,6.64423076923077,5.19285714285714,4,3,23,6,6.37623762376238,4.83333333333333,9,2,0.01247202,23,9
11,9,2,5.2,4.45714285714286,3,2,11,19,5.94059405940594,4.66666666666667,9,2,4.156378,19,5
27,9,3,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,9,2,0.07105697,24,9
12,4,2,1.82068965517241,5.19310344827586,0,3,12,1,2.13725490196078,5.33333333333333,7,2,1.802745,1,8
35,1,3,3.25,1.51724137931034,1,0,4,35,3.55882352941176,1.40196078431373,2,2,0.6187238,4,3
33,9,2,6.49038461538461,5.1929347826087,4,3,33,32,6.12037037037037,4.88235294117647,9,2,0.0725821,32,9
2,6,1,5.17857142857143,4.45,3,2,17,2,4.98039215686275,4.75247524752475,4,2,1.24135,17,4
26,9,3,3.23641304347826,6.58967391304348,1,4,29,26,2.23529411764706,6.41176470588235,6,2,1.430832,29,6
27,9,1,3.24184782608696,6.56551724137931,1,4,28,27,4.03703703703704,6.11881188118812,7,2,1.796068,28,4
34,9,1,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,8,2,0.9759701,14,8
1,8,1,5.2,5.19310344827586,3,3,11,1,5.94059405940594,5.33333333333333,9,2,1.208073,11,9
21,2,1,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,7,2,1.377283,3,9
17,4,2,5.17857142857143,6.50961538461539,3,4,17,34,4.98039215686275,6.1078431372549,8,2,1.665421,34,9
18,5,2,5.18620689655172,4.45,3,2,18,2,5.2037037037037,4.75247524752475,5,2,1.241327,2,6
36,4,2,4.44230769230769,6.62228260869565,2,4,36,25,4.89814814814815,6.24752475247525,5,2,0.8994519,25,9
20,2,2,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,1,2,0.872316,8,1
16,4,1,1,3.24728260869565,0,1,22,16,1.25490196078431,4.22222222222222,3,2,0.848635,22,2
2,6,3,4.46206896551724,4.45,2,2,14,2,4.21782178217822,4.75247524752475,5,2,2.591516,14,8
31,2,3,5.2,3.25,3,1,11,31,5.94059405940594,2.90196078431373,4,2,0.9976435,11,9
6,9,1,1.45714285714286,5.19285714285714,0,3,20,6,1.97058823529412,4.83333333333333,5,2,1.805718,20,2
