Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
30,3,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,6,1,3.319284,2,6
17,6,2,5.17857142857143,1.73097826086957,3,0,17,8,4.98039215686275,1.1980198019802,3,1,0.4804285,8,3
20,4,2,1.45714285714286,4.45714285714286,0,2,20,19,1.97058823529412,4.66666666666667,4,1,1.289167,19,4
29,5,2,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,8,1,3.36006,10,9
9,4,1,1.45714285714286,3.25271739130435,0,1,20,9,1.97058823529412,3.54455445544554,4,1,0.3264656,20,4
28,6,2,3.24184782608696,3.25,1,1,28,31,4.03703703703704,2.90196078431373,5,1,0.3251875,31,7
8,3,3,5.18620689655172,1.73097826086957,3,0,18,8,5.2037037037037,1.1980198019802,4,1,0.07179126,18,6
7,5,2,3.26206896551724,6.58967391304348,1,4,7,26,4.05882352941176,6.41176470588235,7,1,0.5379467,26,6
31,7,1,6.82758620689655,3.25,4,1,24,31,6.31372549019608,2.90196078431373,7,1,2.103396,24,7
34,7,3,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,6,1,0.9457026,14,6
25,7,3,3.25,6.62228260869565,1,4,4,25,3.55882352941176,6.24752475247525,6,1,2.895377,4,5
26,6,3,5.2,6.58967391304348,3,4,11,26,5.94059405940594,6.41176470588235,6,1,0.9907012,11,9
13,3,1,3.25,1.58423913043478,1,0,4,13,3.55882352941176,2.00980392156863,5,1,0.2582259,4,5
35,4,1,1.82068965517241,1.51724137931034,0,0,30,35,1.67326732673267,1.40196078431373,3,1,0.3758099,30,3
32,6,3,5.17857142857143,5.1929347826087,3,3,17,32,4.98039215686275,4.88235294117647,6,1,1.65502,17,6
33,6,2,6.49038461538461,1.51724137931034,4,0,33,35,6.12037037037037,1.40196078431373,4,1,2.094129,35,4
11,9,2,5.2,6.56551724137931,3,4,11,27,5.94059405940594,6.11881188118812,7,1,0.9405839,27,7
36,7,2,4.44230769230769,3.24728260869565,2,1,36,16,4.89814814814815,4.22222222222222,5,1,0.42095,16,5
23,7,2,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,6,1,0.6400125,1,6
25,7,1,5.17857142857143,6.62228260869565,3,4,5,25,5.45098039215686,6.24752475247525,7,1,0.6591063,5,8
22,1,2,1,3.25271739130435,0,1,22,9,1.25490196078431,3.54455445544554,5,1,0.09487533,9,4
27,7,3,1.82068965517241,6.56551724137931,0,4,12,27,2.13725490196078,6.11881188118812,6,1,1.263352,12,4
34,7,1,5.17857142857143,6.50961538461539,3,4,17,34,4.98039215686275,6.1078431372549,5,1,0.7681612,17,6
16,5,3,1.82068965517241,3.24728260869565,0,1,30,16,1.67326732673267,4.22222222222222,4,1,0.4344822,30,3
10,9,1,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,4,1,0.7981614,28,6
6,6,1,3.23641304347826,5.19285714285714,1,3,29,6,2.23529411764706,4.83333333333333,6,1,0.4490983,29,5
2,6,3,6.49038461538461,4.45,4,2,33,2,6.12037037037037,4.75247524752475,5,1,0.04935957,33,6
13,3,3,6.49728260869565,1.58423913043478,4,0,3,13,6.32352941176471,2.00980392156863,4,1,0.8665407,3,7
1,6,3,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,4,1,0.7167352,20,4
2,6,1,4.44230769230769,4.45,2,2,36,2,4.89814814814815,4.75247524752475,5,1,0.9470422,36,7
15,6,1,5.2,3.26896551724138,3,1,11,15,5.94059405940594,2.88235294117647,8,1,0.2430437,11,9
18,6,2,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,6,1,1.94407,34,7
5,8,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,4,1,1.327121,13,3
16,5,1,6.49038461538461,3.24728260869565,4,1,33,16,6.12037037037037,4.22222222222222,6,1,1.865888,33,6
35,4,3,4.44230769230769,1.51724137931034,2,0,36,35,4.89814814814815,1.40196078431373,5,1,1.916285,36,7
3,7,2,6.49728260869565,6.62228260869565,4,4,3,25,6.32352941176471,6.24752475247525,7,1,0.6366699,25,7
26,6,1,1.82068965517241,6.58967391304348,0,4,12,26,2.13725490196078,6.41176470588235,5,1,1.330019,12,4
19,4,3,1,4.45714285714286,0,2,22,19,1.25490196078431,4.66666666666667,3,1,1.582116,22,1
12,4,2,1.82068965517241,3.26896551724138,0,1,12,15,2.13725490196078,2.88235294117647,5,1,3.84447,15,6
24,7,2,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,6,1,0.4800685,6,6
15,6,3,3.26206896551724,3.26896551724138,1,1,7,15,4.05882352941176,2.88235294117647,5,1,0.4792906,7,5
6,6,3,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,5,1,1.008696,28,6
21,1,1,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,5,1,2.900904,3,7
19,4,1,6.64423076923077,4.45714285714286,4,2,23,19,6.37623762376238,4.66666666666667,5,1,0.765325,23,7
14,6,2,4.46206896551724,5.1929347826087,2,3,14,32,4.21782178217822,4.88235294117647,6,1,1.15332,32,6
31,7,3,3.23641304347826,3.25,1,1,29,31,2.23529411764706,2.90196078431373,5,1,0.8425142,29,5
10,9,3,6.82758620689655,5.19565217391304,4,3,24,10,6.31372549019608,5.85294117647059,7,1,0.7764398,24,7
4,5,2,3.25,1.44285714285714,1,0,4,21,3.55882352941176,1.3921568627451,2,1,0.5335848,21,1
8,3,1,4.46206896551724,1.73097826086957,2,0,14,8,4.21782178217822,1.1980198019802,5,1,2.488832,14,6
1,6,1,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,1,1,0.3607458,22,1
27,7,1,3.26206896551724,6.56551724137931,1,4,7,27,4.05882352941176,6.11881188118812,5,1,4.157295,7,5
9,4,3,6.64423076923077,3.25271739130435,4,1,23,9,6.37623762376238,3.54455445544554,5,1,1.25277,23,7
32,6,1,5.18620689655172,5.1929347826087,3,3,18,32,5.2037037037037,4.88235294117647,6,1,1.142555,18,6
21,1,3,5.17857142857143,1.44285714285714,3,0,5,21,5.45098039215686,1.3921568627451,5,1,5.958427,5,8
9,4,3,1.82068965517241,3.25271739130435,0,1,12,9,2.13725490196078,3.54455445544554,5,2,4.018806,12,4
5,8,2,5.17857142857143,5.19565217391304,3,3,5,10,5.45098039215686,5.85294117647059,9,2,0.3846459,10,9
23,7,2,6.64423076923077,6.50961538461539,4,4,23,34,6.37623762376238,6.1078431372549,7,2,0.3084649,34,7
24,7,2,6.82758620689655,6.62228260869565,4,4,24,25,6.31372549019608,6.24752475247525,6,2,0.2988952,25,7
3,7,2,6.49728260869565,5.19285714285714,4,3,3,6,6.32352941176471,4.83333333333333,6,2,2.581875,6,6
34,7,3,1.45714285714286,6.50961538461539,0,4,20,34,1.97058823529412,6.1078431372549,5,2,1.563496,20,4
28,6,2,3.24184782608696,1.44285714285714,1,0,28,21,4.03703703703704,1.3921568627451,3,2,0.3607815,21,1
26,6,3,6.49038461538461,6.58967391304348,4,4,33,26,6.12037037037037,6.41176470588235,6,2,0.3328536,33,6
4,5,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,5,2,0.820218,31,7
25,7,3,3.24184782608696,6.62228260869565,1,4,28,25,4.03703703703704,6.24752475247525,6,2,0.6423777,28,6
32,6,3,1,5.1929347826087,0,3,22,32,1.25490196078431,4.88235294117647,4,2,0.2854013,22,1
27,7,3,4.44230769230769,6.56551724137931,2,4,36,27,4.89814814814815,6.11881188118812,6,2,0.5988658,36,7
29,5,2,3.23641304347826,1.58423913043478,1,0,29,13,2.23529411764706,2.00980392156863,4,2,0.9226207,13,3
6,6,1,5.17857142857143,5.19285714285714,3,3,5,6,5.45098039215686,4.83333333333333,8,2,1.104774,5,8
31,7,1,6.49728260869565,3.25,4,1,3,31,6.32352941176471,2.90196078431373,7,2,0.5104903,3,7
8,3,1,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,3,2,1.278505,20,4
36,7,2,4.44230769230769,3.26896551724138,2,1,36,15,4.89814814814815,2.88235294117647,5,2,0.9056503,15,6
6,6,3,3.25,5.19285714285714,1,3,4,6,3.55882352941176,4.83333333333333,6,2,0.4349392,4,5
20,4,2,1.45714285714286,5.1929347826087,0,3,20,32,1.97058823529412,4.88235294117647,6,2,0.8382276,32,6
