Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
9,2,1,1.82068965517241,3.25271739130435,0,1,30,9,1.67326732673267,3.54455445544554,1,2,0.9784652,30,1
21,1,1,3.25,1.44285714285714,1,0,4,21,3.55882352941176,1.3921568627451,1,2,0.53853,4,1
9,2,3,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,2,2,0.7093397,36,9
12,1,2,1.82068965517241,4.45714285714286,0,2,12,19,2.13725490196078,4.66666666666667,6,2,0.6581231,19,2
24,9,2,6.82758620689655,3.25,4,1,24,31,6.31372549019608,2.90196078431373,1,2,0.427922,31,1
2,6,1,4.44230769230769,4.45,2,2,36,2,4.89814814814815,4.75247524752475,9,2,0.7699585,36,9
13,1,1,6.49038461538461,1.58423913043478,4,0,33,13,6.12037037037037,2.00980392156863,9,2,0.5259837,33,9
10,9,1,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,8,2,1.075116,28,2
16,2,3,5.17857142857143,3.24728260869565,3,1,17,16,4.98039215686275,4.22222222222222,2,2,0.9918499,17,4
29,3,2,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,8,2,0.5619605,10,9
27,9,3,1.82068965517241,6.56551724137931,0,4,12,27,2.13725490196078,6.11881188118812,5,2,1.058506,12,1
35,1,1,6.82758620689655,1.51724137931034,4,0,24,35,6.31372549019608,1.40196078431373,4,2,2.020223,24,9
19,2,3,3.26206896551724,4.45714285714286,1,2,7,19,4.05882352941176,4.66666666666667,4,2,1.677611,7,1
22,1,2,1,6.62228260869565,0,4,22,25,1.25490196078431,6.24752475247525,3,2,2.692569,25,9
10,9,3,6.82758620689655,5.19565217391304,4,3,24,10,6.31372549019608,5.85294117647059,9,2,0.5642225,24,9
26,9,1,1.82068965517241,6.58967391304348,0,4,12,26,2.13725490196078,6.41176470588235,5,2,1.010386,12,1
6,9,3,3.25,5.19285714285714,1,3,4,6,3.55882352941176,4.83333333333333,6,2,1.554064,4,1
17,4,2,5.17857142857143,5.19310344827586,3,3,17,1,4.98039215686275,5.33333333333333,9,2,0.3707646,1,9
30,1,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,9,2,0.7261388,2,6
34,7,3,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,7,2,1.023325,14,1
20,1,2,1.45714285714286,3.26896551724138,0,1,20,15,1.97058823529412,2.88235294117647,3,2,1.963792,15,3
7,1,2,3.26206896551724,6.58967391304348,1,4,7,26,4.05882352941176,6.41176470588235,3,2,0.9845924,26,9
