Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
30,2,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,7,1,0.569053,2,4
17,6,2,5.17857142857143,1.73097826086957,3,0,17,8,4.98039215686275,1.1980198019802,2,1,4.572646,8,3
20,3,2,1.45714285714286,4.45714285714286,0,2,20,19,1.97058823529412,4.66666666666667,4,1,1.535251,19,2
29,5,2,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,9,1,0.6052375,10,9
9,6,1,1.45714285714286,3.25271739130435,0,1,20,9,1.97058823529412,3.54455445544554,2,1,0.7281198,20,3
28,4,2,3.24184782608696,3.25,1,1,28,31,4.03703703703704,2.90196078431373,2,1,0.09508992,31,1
8,3,3,5.18620689655172,1.73097826086957,3,0,18,8,5.2037037037037,1.1980198019802,2,1,3.476075,18,9
7,7,2,3.26206896551724,6.58967391304348,1,4,7,26,4.05882352941176,6.41176470588235,9,1,0.08674965,26,6
31,1,1,6.82758620689655,3.25,4,1,24,31,6.31372549019608,2.90196078431373,9,1,0.07109598,24,9
34,9,3,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,8,1,1.300114,14,2
25,9,3,3.25,6.62228260869565,1,4,4,25,3.55882352941176,6.24752475247525,8,1,1.683682,4,6
26,6,3,5.2,6.58967391304348,3,4,11,26,5.94059405940594,6.41176470588235,7,1,0.3970004,11,6
13,1,1,3.25,1.58423913043478,1,0,4,13,3.55882352941176,2.00980392156863,6,1,0.4259595,4,6
35,1,1,1.82068965517241,1.51724137931034,0,0,30,35,1.67326732673267,1.40196078431373,2,1,0.3675508,30,2
32,2,3,5.17857142857143,5.1929347826087,3,3,17,32,4.98039215686275,4.88235294117647,4,1,3.120554,17,6
33,9,2,6.49038461538461,1.51724137931034,4,0,33,35,6.12037037037037,1.40196078431373,2,1,0.8611697,35,1
11,6,2,5.2,6.56551724137931,3,4,11,27,5.94059405940594,6.11881188118812,9,1,0.07093077,27,4
36,NaN,2,4.44230769230769,3.24728260869565,2,1,36,16,4.89814814814815,4.22222222222222,4,1,0.345017,16,1
23,9,2,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,7,1,0.2055681,1,6
25,9,1,5.17857142857143,6.62228260869565,3,4,5,25,5.45098039215686,6.24752475247525,2,1,0.4949703,5,1
22,1,2,1,3.25271739130435,0,1,22,9,1.25490196078431,3.54455445544554,4,1,0.9687142,9,6
27,4,3,1.82068965517241,6.56551724137931,0,4,12,27,2.13725490196078,6.11881188118812,7,1,4.831708,12,1
34,9,1,5.17857142857143,6.50961538461539,3,4,17,34,4.98039215686275,6.1078431372549,5,1,0.6739818,17,6
16,1,3,1.82068965517241,3.24728260869565,0,1,30,16,1.67326732673267,4.22222222222222,7,1,1.288154,30,2
10,9,1,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,4,1,2.129315,28,4
6,2,1,3.23641304347826,5.19285714285714,1,3,29,6,2.23529411764706,4.83333333333333,4,1,0.3461407,29,5
2,4,3,6.49038461538461,4.45,4,2,33,2,6.12037037037037,4.75247524752475,9,1,1.80816,33,9
13,1,3,6.49728260869565,1.58423913043478,4,0,3,13,6.32352941176471,2.00980392156863,6,1,0.5181401,3,8
1,6,3,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,4,1,0.108579,20,3
2,4,1,4.44230769230769,4.45,2,2,36,2,4.89814814814815,4.75247524752475,7,1,2.921524,36,NaN
15,4,1,5.2,3.26896551724138,3,1,11,15,5.94059405940594,2.88235294117647,2,1,4.307559,11,6
18,9,2,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,9,1,1.467998,34,9
5,1,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,4,1,0.2221681,13,1
16,1,1,6.49038461538461,3.24728260869565,4,1,33,16,6.12037037037037,4.22222222222222,2,1,1.094067,33,9
35,1,3,4.44230769230769,1.51724137931034,2,0,36,35,4.89814814814815,1.40196078431373,4,1,2.31646,36,NaN
3,8,2,6.49728260869565,6.62228260869565,4,4,3,25,6.32352941176471,6.24752475247525,9,1,1.136684,25,9
26,6,1,1.82068965517241,6.58967391304348,0,4,12,26,2.13725490196078,6.41176470588235,2,1,3.560747,12,1
19,2,3,1,4.45714285714286,0,2,22,19,1.25490196078431,4.66666666666667,2,1,0.08507602,22,1
12,1,2,1.82068965517241,3.26896551724138,0,1,12,15,2.13725490196078,2.88235294117647,2,1,0.9675726,15,4
24,9,2,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,9,1,0.08627071,6,2
15,4,3,3.26206896551724,3.26896551724138,1,1,7,15,4.05882352941176,2.88235294117647,2,1,1.079479,7,7
6,2,3,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,4,1,0.3779639,28,4
21,1,1,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,9,1,4.371855,3,8
19,2,1,6.64423076923077,4.45714285714286,4,2,23,19,6.37623762376238,4.66666666666667,9,1,0.5086686,23,9
14,2,2,4.46206896551724,5.1929347826087,2,3,14,32,4.21782178217822,4.88235294117647,4,1,0.5621793,32,2
31,1,3,3.23641304347826,3.25,1,1,29,31,2.23529411764706,2.90196078431373,4,1,0.5678362,29,5
10,9,3,6.82758620689655,5.19565217391304,4,3,24,10,6.31372549019608,5.85294117647059,2,1,0.458156,24,9
4,6,2,3.25,1.44285714285714,1,0,4,21,3.55882352941176,1.3921568627451,1,1,0.501631,21,1
8,3,1,4.46206896551724,1.73097826086957,2,0,14,8,4.21782178217822,1.1980198019802,1,1,0.717744,14,2
1,6,1,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,1,1,1.495346,22,1
27,4,1,3.26206896551724,6.56551724137931,1,4,7,27,4.05882352941176,6.11881188118812,1,1,3.417445,7,7
9,6,3,6.64423076923077,3.25271739130435,4,1,23,9,6.37623762376238,3.54455445544554,4,1,0.4361907,23,9
32,2,1,5.18620689655172,5.1929347826087,3,3,18,32,5.2037037037037,4.88235294117647,2,1,0.4495779,18,9
21,1,3,5.17857142857143,1.44285714285714,3,0,5,21,5.45098039215686,1.3921568627451,2,1,0.5677391,5,1
9,6,3,1.82068965517241,3.25271739130435,0,1,12,9,2.13725490196078,3.54455445544554,2,2,5.135688,12,1
5,1,2,5.17857142857143,5.19565217391304,3,3,5,10,5.45098039215686,5.85294117647059,7,2,1.420374,10,9
23,9,2,6.64423076923077,6.50961538461539,4,4,23,34,6.37623762376238,6.1078431372549,9,2,0.317495,34,9
24,9,2,6.82758620689655,6.62228260869565,4,4,24,25,6.31372549019608,6.24752475247525,9,2,0.2204949,25,9
3,8,2,6.49728260869565,5.19285714285714,4,3,3,6,6.32352941176471,4.83333333333333,7,2,0.9489057,6,2
34,9,3,1.45714285714286,6.50961538461539,0,4,20,34,1.97058823529412,6.1078431372549,5,2,1.055678,20,3
28,4,2,3.24184782608696,1.44285714285714,1,0,28,21,4.03703703703704,1.3921568627451,1,2,0.299942,21,1
26,6,3,6.49038461538461,6.58967391304348,4,4,33,26,6.12037037037037,6.41176470588235,9,2,0.4292878,33,9
4,6,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,1,2,0.4127275,31,1
25,9,3,3.24184782608696,6.62228260869565,1,4,28,25,4.03703703703704,6.24752475247525,9,2,0.6865041,28,4
32,2,3,1,5.1929347826087,0,3,22,32,1.25490196078431,4.88235294117647,1,2,1.054326,22,1
27,4,3,4.44230769230769,6.56551724137931,2,4,36,27,4.89814814814815,6.11881188118812,5,2,3.002712,36,NaN
29,5,2,3.23641304347826,1.58423913043478,1,0,29,13,2.23529411764706,2.00980392156863,4,2,0.3380268,13,1
6,2,1,5.17857142857143,5.19285714285714,3,3,5,6,5.45098039215686,4.83333333333333,2,2,0.1615798,5,1
31,1,1,6.49728260869565,3.25,4,1,3,31,6.32352941176471,2.90196078431373,9,2,0.7149034,3,8
8,3,1,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,2,2,0.842499,20,3
36,NaN,2,4.44230769230769,3.26896551724138,2,1,36,15,4.89814814814815,2.88235294117647,4,2,0.8023249,15,4
6,2,3,3.25,5.19285714285714,1,3,4,6,3.55882352941176,4.83333333333333,8,2,0.5086293,4,6
20,3,2,1.45714285714286,5.1929347826087,0,3,20,32,1.97058823529412,4.88235294117647,4,2,0.737755,32,2
16,1,3,4.46206896551724,3.24728260869565,2,1,14,16,4.21782178217822,4.22222222222222,3,2,1.072525,14,2
21,1,3,3.23641304347826,1.44285714285714,1,0,29,21,2.23529411764706,1.3921568627451,1,2,0.3441037,29,5
1,6,1,5.2,5.19310344827586,3,3,11,1,5.94059405940594,5.33333333333333,2,2,0.926487,11,6
16,1,1,5.17857142857143,3.24728260869565,3,1,17,16,4.98039215686275,4.22222222222222,5,2,0.6411295,17,6
10,9,3,6.49728260869565,5.19565217391304,4,3,3,10,6.32352941176471,5.85294117647059,9,2,0.7543125,3,8
15,4,1,6.49038461538461,3.26896551724138,4,1,33,15,6.12037037037037,2.88235294117647,9,2,0.3290551,33,9
2,4,3,5.17857142857143,4.45,3,2,17,2,4.98039215686275,4.75247524752475,8,2,0.6474887,17,6
21,1,1,6.82758620689655,1.44285714285714,4,0,24,21,6.31372549019608,1.3921568627451,8,2,0.737287,24,9
22,1,2,1,1.73097826086957,0,0,22,8,1.25490196078431,1.1980198019802,1,2,0.5614886,8,3
31,1,3,5.17857142857143,3.25,3,1,5,31,5.45098039215686,2.90196078431373,1,2,1.630832,5,1
25,9,1,3.23641304347826,6.62228260869565,1,4,29,25,2.23529411764706,6.24752475247525,1,2,0.560613,29,5
2,4,1,5.18620689655172,4.45,3,2,18,2,5.2037037037037,4.75247524752475,7,2,0.6493226,18,9
11,6,2,5.2,3.25271739130435,3,1,11,9,5.94059405940594,3.54455445544554,2,2,1.172924,9,6
26,6,1,4.44230769230769,6.58967391304348,2,4,36,26,4.89814814814815,6.41176470588235,2,2,0.2202836,36,NaN
33,9,2,6.49038461538461,6.56551724137931,4,4,33,27,6.12037037037037,6.11881188118812,7,2,0.8777707,27,4
13,1,3,6.82758620689655,1.58423913043478,4,0,24,13,6.31372549019608,2.00980392156863,8,2,1.628724,24,9
15,4,3,1.82068965517241,3.26896551724138,0,1,30,15,1.67326732673267,2.88235294117647,1,2,0.7003745,30,2
19,2,3,5.2,4.45714285714286,3,2,11,19,5.94059405940594,4.66666666666667,3,2,0.9451179,11,6
18,9,2,5.18620689655172,3.24728260869565,3,1,18,16,5.2037037037037,4.22222222222222,2,2,0.7213951,16,1
1,6,3,3.26206896551724,5.19310344827586,1,3,7,1,4.05882352941176,5.33333333333333,8,2,1.931433,7,7
32,2,1,6.64423076923077,5.1929347826087,4,3,23,32,6.37623762376238,4.88235294117647,8,2,0.2865893,23,9
27,4,1,1.82068965517241,6.56551724137931,0,4,30,27,1.67326732673267,6.11881188118812,2,2,0.5378062,30,2
34,9,1,1,6.50961538461539,0,4,22,34,1.25490196078431,6.1078431372549,1,2,1.117915,22,1
35,1,1,4.46206896551724,1.51724137931034,2,0,14,35,4.21782178217822,1.40196078431373,1,2,0.8145086,14,2
9,6,1,3.26206896551724,3.25271739130435,1,1,7,9,4.05882352941176,3.54455445544554,8,2,0.02700919,7,7
30,2,2,1.82068965517241,6.58967391304348,0,4,30,26,1.67326732673267,6.41176470588235,9,2,0.2361187,26,6
8,3,3,6.64423076923077,1.73097826086957,4,0,23,8,6.37623762376238,1.1980198019802,1,2,0.7238913,23,9
14,2,2,4.46206896551724,4.45,2,2,14,2,4.21782178217822,4.75247524752475,8,2,0.2053478,2,4
17,6,2,5.17857142857143,1.51724137931034,3,0,17,35,4.98039215686275,1.40196078431373,2,2,0.4211627,35,1
19,2,1,1.82068965517241,4.45714285714286,0,2,12,19,2.13725490196078,4.66666666666667,1,2,0.1762904,12,1
13,1,1,3.24184782608696,1.58423913043478,1,0,28,13,4.03703703703704,2.00980392156863,1,2,0.4138271,28,4
7,7,2,3.26206896551724,4.45714285714286,1,2,7,19,4.05882352941176,4.66666666666667,1,2,0.3154675,19,2
10,9,1,3.25,5.19565217391304,1,3,4,10,3.55882352941176,5.85294117647059,2,2,0.619795,4,6
12,1,2,1.82068965517241,5.19310344827586,0,3,12,1,2.13725490196078,5.33333333333333,7,2,2.88726,1,6
35,1,3,5.18620689655172,1.51724137931034,3,0,18,35,5.2037037037037,1.40196078431373,3,2,0.5017442,18,9
3,8,2,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,2,1,0.5474875,21,1
27,4,1,5.18620689655172,6.56551724137931,3,4,18,27,5.2037037037037,6.11881188118812,2,1,2.153303,18,9
16,1,1,1.82068965517241,3.24728260869565,0,1,12,16,2.13725490196078,4.22222222222222,4,1,0.2488134,12,1
25,9,1,1,6.62228260869565,0,4,22,25,1.25490196078431,6.24752475247525,1,1,1.304228,22,1
9,6,1,1.45714285714286,3.25271739130435,0,1,20,9,1.97058823529412,3.54455445544554,1,1,0.01977231,20,3
30,2,2,1.82068965517241,4.45,0,2,30,2,1.67326732673267,4.75247524752475,9,1,0.5902562,2,4
15,4,1,3.26206896551724,3.26896551724138,1,1,7,15,4.05882352941176,2.88235294117647,9,1,4.10666,7,7
31,1,1,3.23641304347826,3.25,1,1,29,31,2.23529411764706,2.90196078431373,2,1,0.1015004,29,5
26,6,1,4.46206896551724,6.58967391304348,2,4,14,26,4.21782178217822,6.41176470588235,2,1,3.258746,14,2
24,9,2,6.82758620689655,3.25,4,1,24,31,6.31372549019608,2.90196078431373,1,1,0.1978145,31,1
22,1,2,1,3.25271739130435,0,1,22,9,1.25490196078431,3.54455445544554,1,1,0.2254466,9,6
10,9,3,3.23641304347826,5.19565217391304,1,3,29,10,2.23529411764706,5.85294117647059,2,1,1.647512,29,5
17,6,2,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,2,1,1.131957,26,6
1,6,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,9,1,0.5174987,23,9
6,2,1,3.25,5.19285714285714,1,3,4,6,3.55882352941176,4.83333333333333,2,1,3.567039,4,6
1,6,3,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,2,1,4.5509,22,1
19,2,1,6.49728260869565,4.45714285714286,4,2,3,19,6.32352941176471,4.66666666666667,2,1,2.773973,3,8
13,1,3,4.44230769230769,1.58423913043478,2,0,36,13,4.89814814814815,2.00980392156863,3,1,0.2285912,36,NaN
14,2,2,4.46206896551724,6.56551724137931,2,4,14,27,4.21782178217822,6.11881188118812,3,1,2.093418,27,4
2,4,1,4.44230769230769,4.45,2,2,36,2,4.89814814814815,4.75247524752475,3,1,2.987756,36,NaN
29,5,2,3.23641304347826,1.51724137931034,1,0,29,35,2.23529411764706,1.40196078431373,2,1,3.215276,35,1
25,9,3,1.45714285714286,6.62228260869565,0,4,20,25,1.97058823529412,6.24752475247525,4,1,1.799398,20,3
13,1,1,1.82068965517241,1.58423913043478,0,0,30,13,1.67326732673267,2.00980392156863,3,1,0.636257,30,2
26,6,3,5.18620689655172,6.58967391304348,3,4,18,26,5.2037037037037,6.41176470588235,5,1,0.894041,18,9
8,3,3,1.82068965517241,1.73097826086957,0,0,30,8,1.67326732673267,1.1980198019802,1,1,0.3967905,30,2
