Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
5,4,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,7,2,1.742388,13,3
22,1,2,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,7,2,1.112425,6,5
34,7,3,5.18620689655172,6.50961538461539,3,4,18,34,5.2037037037037,6.1078431372549,5,2,3.328269,18,5
10,6,3,3.24184782608696,5.19565217391304,1,3,28,10,4.03703703703704,5.85294117647059,8,2,1.878102,28,4
16,3,3,1.45714285714286,3.24728260869565,0,1,20,16,1.97058823529412,4.22222222222222,3,2,1.15665,20,1
9,3,1,5.18620689655172,3.25271739130435,3,1,18,9,5.2037037037037,3.54455445544554,4,2,4.176242,18,5
32,5,1,1.82068965517241,5.1929347826087,0,3,30,32,1.67326732673267,4.88235294117647,1,2,0.4788904,30,1
6,5,3,6.64423076923077,5.19285714285714,4,3,23,6,6.37623762376238,4.83333333333333,8,2,0.3990353,23,7
11,5,2,5.2,4.45714285714286,3,2,11,19,5.94059405940594,4.66666666666667,5,2,0.8005698,19,4
27,7,3,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,9,2,2.211152,24,8
12,4,2,1.82068965517241,5.19310344827586,0,3,12,1,2.13725490196078,5.33333333333333,8,2,0.3549444,1,7
35,2,3,3.25,1.51724137931034,1,0,4,35,3.55882352941176,1.40196078431373,3,2,0.6366676,4,4
33,6,2,6.49038461538461,5.1929347826087,4,3,33,32,6.12037037037037,4.88235294117647,9,2,5.129795,32,5
2,6,1,5.17857142857143,4.45,3,2,17,2,4.98039215686275,4.75247524752475,6,2,1.917773,17,5
26,7,3,3.23641304347826,6.58967391304348,1,4,29,26,2.23529411764706,6.41176470588235,9,2,1.046236,29,6
27,7,1,3.24184782608696,6.56551724137931,1,4,28,27,4.03703703703704,6.11881188118812,5,2,0.5554718,28,4
34,7,1,4.46206896551724,6.50961538461539,2,4,14,34,4.21782178217822,6.1078431372549,4,2,0.346,14,3
