Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
31,1,3,1.82068965517241,3.25,0,1,30,31,1.67326732673267,2.90196078431373,4,2,2.060728,30,1
11,6,2,5.2,6.62228260869565,3,4,11,25,5.94059405940594,6.24752475247525,7,2,0.9926209,25,7
20,1,2,1.45714285714286,6.58967391304348,0,4,20,26,1.97058823529412,6.41176470588235,7,2,0.6517423,26,7
5,6,2,5.17857142857143,1.58423913043478,3,0,5,13,5.45098039215686,2.00980392156863,5,2,0.8909579,13,4
7,5,2,3.26206896551724,1.51724137931034,1,0,7,35,4.05882352941176,1.40196078431373,3,2,1.59255,35,1
34,8,1,6.82758620689655,6.50961538461539,4,4,24,34,6.31372549019608,6.1078431372549,7,2,0.8670566,24,8
32,7,3,3.24184782608696,5.1929347826087,1,3,28,32,4.03703703703704,4.88235294117647,9,2,2.132469,28,1
1,7,1,5.18620689655172,5.19310344827586,3,3,18,1,5.2037037037037,5.33333333333333,6,2,0.8074792,18,5
15,1,3,3.25,3.26896551724138,1,1,4,15,3.55882352941176,2.88235294117647,5,2,0.4339464,4,5
21,1,1,1.45714285714286,1.44285714285714,0,0,20,21,1.97058823529412,1.3921568627451,3,2,0.8728036,20,1
35,1,1,1.82068965517241,1.51724137931034,0,0,12,35,2.13725490196078,1.40196078431373,NaN,2,19.76316,12,3
19,1,3,6.82758620689655,4.45714285714286,4,2,24,19,6.31372549019608,4.66666666666667,6,2,0.8301237,24,8
9,5,1,1.82068965517241,3.25271739130435,0,1,30,9,1.67326732673267,3.54455445544554,2,2,0.7114525,30,1
29,1,2,3.23641304347826,4.45714285714286,1,2,29,19,2.23529411764706,4.66666666666667,4,2,2.904059,19,1
23,8,2,6.64423076923077,1.73097826086957,4,0,23,8,6.37623762376238,1.1980198019802,4,2,1.981513,8,1
32,7,1,3.23641304347826,5.1929347826087,1,3,29,32,2.23529411764706,4.88235294117647,6,2,0.6209875,29,1
2,6,3,3.26206896551724,4.45,1,2,7,2,4.05882352941176,4.75247524752475,7,2,1.125456,7,5
9,5,3,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,5,2,1.550327,36,4
16,6,1,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,8,2,0.6380446,3,8
14,6,2,4.46206896551724,5.19310344827586,2,3,14,1,4.21782178217822,5.33333333333333,7,2,1.050305,1,7
17,5,2,5.17857142857143,6.56551724137931,3,4,17,27,4.98039215686275,6.11881188118812,8,2,0.1693545,27,8
22,1,2,1,1.44285714285714,0,0,22,21,1.25490196078431,1.3921568627451,6,2,1.309798,21,1
25,7,3,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,7,2,0.8373969,12,3
36,4,2,4.44230769230769,3.25,2,1,36,31,4.89814814814815,2.90196078431373,5,2,1.014094,31,1
34,8,3,3.23641304347826,6.50961538461539,1,4,29,34,2.23529411764706,6.1078431372549,8,2,0.7241603,29,1
26,7,1,6.64423076923077,6.58967391304348,4,4,23,26,6.37623762376238,6.41176470588235,8,2,4.125096,23,8
16,6,3,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,7,2,1.298871,5,6
13,4,1,3.25,1.58423913043478,1,0,4,13,3.55882352941176,2.00980392156863,5,2,1.169453,4,5
25,7,1,3.26206896551724,6.62228260869565,1,4,7,25,4.05882352941176,6.24752475247525,5,2,0.01971122,7,5
18,5,2,5.18620689655172,5.19565217391304,3,3,18,10,5.2037037037037,5.85294117647059,8,2,0.2871837,10,8
30,1,2,1.82068965517241,5.19285714285714,0,3,30,6,1.67326732673267,4.83333333333333,8,2,0.07978017,6,7
24,8,2,6.82758620689655,5.1929347826087,4,3,24,32,6.31372549019608,4.88235294117647,6,2,0.525955,32,7
8,1,3,1.45714285714286,1.73097826086957,0,0,20,8,1.97058823529412,1.1980198019802,3,2,1.537334,20,1
27,8,1,4.46206896551724,6.56551724137931,2,4,14,27,4.21782178217822,6.11881188118812,5,2,1.218396,14,6
